GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AG3001,AH0001,AH0002,AH0003,AH0004,AH0005,AH0006,AH0007,AH0008,AH0009,AH0010,AH0011,AH0012,AH0013,AH0014,AH0015,AH0016,AH0017,AH0018,AH0019,AH0020,AH0021,AH0022,AH0023,AH0024,AH0025,AH0026,AH0027,AH0028,AH0029,AH0030,AH0031,AH0032,AH0033,AH0034,AH0035,AH0036,AH0037,AH0038,AH0039,AH0040,AH0041,AH0042,AH0043,AH0044,AH0045,AH0046,AH0047,AH0048,AH0049,AH0050,AH0051,AH0052,AH0053,AH0054,AH0055,AH0056,AH0057,AH0058,AH0059,AH0060,AH0061,AH0062,AH0063,AH0064,AH0065,AH0066,AH0067,AH0068,AH0069,AH0070,AH0071,AH0072,AH0073,AH0074,AH0075,AH0076,AH0077,AH0078,AH0079,AH0080,AH0081,AH0082,AH0083,AH0084,AH0085,AH0086,AH0087,AH0088,AH0089,AH0090,AH0091,AH0092,AH0093,AH0094,AH0095,AH0096,AH0097,AH0098,AH0099,AH0100,AH0101,AH0102,AH0103,AH0104,AH0105,AH0106,AH0107,AH0108,AH0109,AH0110,AH0111,AH0112,AH0113,AH0114,AH0115,AH0116,AH0117,AH0118,AH0119,AH0120,AH0121,AH0122,AH0123,AH0124,AH0125,AH0126,AH0127,AH0128,AH0129,AH0130,AH0131,AH0132,AH0133,AH0134,AH0135,AH0136,AH0137,AH0138,AH0139,AH0140,AH0141,AH0142,AH0143,AH0144,AH0145,AH0146,AH0147,AH0148,AH0149,AH0150,AH0151,AH0152,AH0153,AH0154,AH0155,AH0156,AH0157,AH0158,AH0159,AH0160,AH0161,AH0162,AH0163,AH0164,AH0165,AH0166,AH0167,AH0168,AH0169,AH0170,AH0171,AH0172,AH0173,AH0174,AH0175,AH0176,AH0177,AH0178,AH0179,AH0180,AH2001,AH2002,AH2003,AH2004,AH2005,AH2006,AH2007,AH2008,AH2009,AH2010,AH2011,AH2012,AG9001,AG9002,AG9003,AG9004,AG9005,AG9006,AG9007,AG9008,AG9009,AG9010,AG9011,AG9012,AG9013,AG9014,AG9015,AG9016,AG9017,AG9018,AG9019,AG9020,AG9021,AHA001,AHB001,AHB002
"G5101270","1860","Virginia","510","New Kent","1270","New Kent",5884,36,25,100,113,150,136,124,136,81,128,223,180,148,142,114,76,56,69,53,38,6,7,0,2,0,0,0,0,1,1,4,8,24,24,34,34,22,19,10,16,18,37,31,28,12,11,8,4,4,9,2,2,1,2,0,0,0,0,0,0,79,53,220,238,236,244,241,223,204,192,271,300,159,189,105,115,60,82,51,48,16,25,6,7,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,1053,170,194,1649,1725,1,0,,,,,18,25,24,22,26,13,20,18,9,43,32,23,9,1,4,3,1,0,0,0,0,291,3374,2510
"G5101275","1860","Virginia","510","Nicholas","1275","Nicholas",4627,104,66,325,299,334,302,303,280,259,259,414,402,248,202,155,139,111,93,73,52,16,19,5,6,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,12,11,14,9,7,11,12,11,18,10,7,11,6,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2349,2122,2,0,82,72,0,0,,,,,16,8,8,4,2,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,46,154,4473
"G5101290","1860","Virginia","510","Norfolk","1290","Norfolk",36227,393,366,1358,1316,1524,1490,1314,1369,1239,1369,2333,2502,1797,1678,1111,1081,614,650,276,320,73,103,15,37,0,6,0,1,11,11,39,38,156,167,204,202,187,181,124,178,170,313,156,211,92,128,46,82,26,49,14,20,7,7,1,2,0,2,0,1,92,78,445,407,543,562,581,623,506,549,811,784,511,549,417,477,247,326,136,223,43,48,7,19,4,7,3,6,0,0,2,0,3,3,4,3,6,5,5,1,0,7,5,4,4,2,3,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12058,12299,1222,1581,4346,4658,33,30,,,,,467,224,129,120,94,82,48,47,48,102,52,31,16,2,2,0,0,0,0,0,0,1464,9004,27223
"G5101310","1860","Virginia","510","Northampton","1310","Northampton",7832,37,47,165,163,189,161,214,216,145,165,286,269,164,174,148,151,105,104,34,38,3,12,1,3,2,0,0,0,0,2,13,13,62,58,62,62,68,53,53,47,102,103,42,52,33,45,21,25,12,18,3,11,1,2,0,1,0,0,0,0,51,48,251,244,273,272,252,254,213,182,331,319,233,225,148,142,126,95,71,63,25,29,4,13,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1493,1505,472,490,1980,1892,0,0,,,,,67,32,40,27,35,25,16,11,14,49,37,33,9,3,0,1,1,0,0,0,0,400,3872,3960
"G5101330","1860","Virginia","510","Northumberland","1330","Northumberland",7531,69,60,227,242,226,250,236,251,213,268,353,383,227,210,165,154,107,124,39,38,7,15,2,2,1,0,0,0,1,0,3,7,16,12,16,20,13,14,16,8,23,16,11,11,6,8,7,8,2,3,1,0,1,0,0,0,0,0,0,0,77,65,210,292,226,276,256,216,205,194,259,269,169,192,114,120,89,67,44,45,7,25,6,8,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1873,1997,115,107,1664,1775,0,0,,,,,125,55,38,40,17,13,10,7,11,26,19,21,8,6,1,2,2,0,0,0,0,401,3439,4092
"G5101350","1860","Virginia","510","Nottoway","1350","Nottoway",8836,28,28,127,126,156,133,137,143,118,121,205,177,138,131,109,110,69,67,47,40,18,27,4,10,0,1,0,0,0,0,2,0,7,5,4,7,6,5,7,6,8,8,2,5,4,8,6,6,1,0,0,1,0,0,0,0,0,0,0,0,65,106,423,464,462,434,442,434,345,389,562,530,370,326,228,254,170,139,119,88,40,39,12,17,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,1114,47,51,3242,3226,0,0,,,,,38,30,17,23,23,20,26,14,12,45,32,31,18,19,14,11,2,0,0,0,0,375,6468,2368
"G5101355","1860","Virginia","510","Ohio","1355","Ohio",22422,343,311,1564,1582,1607,1550,1262,1234,1015,1218,1673,1970,1546,1519,1047,946,530,479,273,272,102,88,25,26,2,6,0,1,1,4,0,0,2,4,9,7,10,6,4,6,16,14,11,9,2,13,2,4,2,0,1,4,0,0,0,0,0,0,0,0,0,1,3,5,5,4,7,10,10,9,13,7,3,7,0,8,0,2,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10990,11206,59,67,42,58,0,0,,,,,20,11,5,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,43,100,22322
"G5101370","1860","Virginia","510","Orange","1370","Orange",10851,73,65,291,260,312,312,276,269,224,239,380,380,255,263,189,188,131,130,98,95,56,34,10,18,2,0,0,0,2,1,4,3,16,13,19,5,9,9,17,8,16,21,8,9,12,10,3,1,2,1,1,0,0,0,0,0,0,0,0,0,51,52,439,459,523,504,470,435,331,314,497,442,271,306,224,193,141,145,90,93,38,50,19,12,0,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2299,2254,107,80,3095,3016,0,0,,,,,57,34,25,29,21,28,23,20,20,76,53,44,28,10,9,2,1,0,0,0,0,480,6111,4740
"G5101390","1860","Virginia","510","Page","1390","Page",8109,113,111,441,443,546,485,488,461,391,391,498,568,358,392,252,267,164,163,112,107,52,48,6,9,1,3,0,0,2,3,9,8,29,25,28,28,26,36,14,6,32,40,15,20,12,14,11,9,5,4,1,3,1,2,1,1,0,0,2,2,10,20,59,64,66,73,64,73,40,59,61,62,30,34,31,43,23,11,8,7,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3424,3451,186,198,400,450,0,0,,,,,52,28,21,13,13,13,7,4,4,18,3,0,1,0,0,0,0,0,0,0,0,177,850,7259
"G5101410","1860","Virginia","510","Patrick","1410","Patrick",9359,134,128,482,508,541,493,471,453,401,395,584,618,388,357,244,262,167,178,127,96,47,45,15,18,2,4,0,0,0,0,2,1,12,9,7,12,9,8,7,9,8,14,2,7,4,4,4,3,3,1,0,3,1,1,0,0,0,0,0,0,25,36,155,179,182,202,144,159,121,98,138,169,81,112,59,70,38,36,16,18,6,16,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3603,3555,59,72,969,1101,0,0,,,,,93,40,32,15,24,20,9,12,18,31,6,10,2,2,3,1,0,0,0,0,0,318,2070,7289
