GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AGS001,AGS002,AGS003,AGS004,AGS005,AGS006,AGS007,AGS008,AGS009,AGS010,AGS011,AGS012,AGS013,AGS014,AGS015,AGS016,AGS017,AGS018,AGS019,AGS020,AGS021,AGT001,AGU001
"G0101310","1860","Alabama","010","Wilcox","1310","Wilcox",112,110,90,58,61,42,36,37,35,115,86,82,57,37,34,32,20,0,0,0,0,1044,17797
"G0101330","1860","Alabama","010","Winston","1330","Winston",3,3,1,0,1,1,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,14,122
"G0500010","1860","Arkansas","050","Arkansas","0010","Arkansas",38,33,16,16,14,11,6,16,7,26,10,21,9,8,8,14,4,3,0,0,0,260,4921
"G0500030","1860","Arkansas","050","Ashley","0030","Ashley",60,54,41,33,24,22,29,13,13,41,39,29,10,4,3,2,0,0,0,0,0,417,3761
"G0500070","1860","Arkansas","050","Benton","0070","Benton",38,21,7,8,13,5,3,2,2,6,2,0,0,0,0,0,0,0,0,0,0,107,384
"G0500110","1860","Arkansas","050","Bradley","0110","Bradley",54,44,24,26,24,19,17,10,9,35,12,20,5,6,5,1,0,0,0,0,0,311,2690
"G0500130","1860","Arkansas","050","Calhoun","0130","Calhoun",26,19,19,6,6,13,6,6,2,9,8,9,2,1,1,0,0,0,0,0,0,133,981
"G0500150","1860","Arkansas","050","Carroll","0150","Carroll",34,7,11,6,4,6,2,2,7,2,2,1,0,0,0,0,0,0,0,0,0,84,330
"G0500170","1860","Arkansas","050","Chicot","0170","Chicot",15,13,14,12,14,12,4,6,3,20,18,18,16,9,18,15,16,1,0,1,0,225,7512
"G0500190","1860","Arkansas","050","Clark","0190","Clark",77,36,35,36,23,22,17,8,12,35,12,17,2,1,2,0,0,0,0,0,0,335,2214
"G0500270","1860","Arkansas","050","Columbia","0270","Columbia",76,41,41,36,26,24,18,21,22,57,24,26,12,2,2,1,0,0,0,0,0,429,3599
"G0500290","1860","Arkansas","050","Conway","0290","Conway",30,19,15,7,5,4,5,7,1,8,2,3,2,0,1,0,1,0,0,0,0,110,802
"G0500310","1860","Arkansas","050","Craighead","0310","Craighead",10,7,2,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,25,87
"G0500330","1860","Arkansas","050","Crawford","0330","Crawford",36,35,17,12,7,6,8,3,5,12,7,2,2,0,0,1,0,0,0,0,0,153,858
"G0500350","1860","Arkansas","050","Crittenden","0350","Crittenden",16,13,6,12,13,5,8,6,5,16,17,12,10,4,6,4,0,0,0,0,0,153,2347
"G0500390","1860","Arkansas","050","Dallas","0390","Dallas",50,30,30,13,16,18,10,14,15,47,32,19,6,7,5,3,1,0,0,0,0,316,3494
"G0500410","1860","Arkansas","050","Desha","0410","Desha",32,23,15,17,12,7,4,5,2,19,11,19,8,8,9,7,6,0,0,0,0,204,3784
"G0500430","1860","Arkansas","050","Drew","0430","Drew",72,41,32,32,28,20,18,18,15,43,33,20,12,3,4,2,0,0,0,0,0,393,3497
"G0500470","1860","Arkansas","050","Franklin","0470","Franklin",32,19,17,9,7,6,6,2,1,11,6,8,3,1,0,0,1,0,0,0,0,129,962
"G0500490","1860","Arkansas","050","Fulton","0490","Fulton",7,7,4,3,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,26,88
"G0500550","1860","Arkansas","050","Greene","0550","Greene",15,11,9,6,7,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,56,189
"G0500570","1860","Arkansas","050","Hempstead","0570","Hempstead",73,49,39,30,31,29,12,14,16,48,37,26,14,11,9,5,3,1,0,0,0,447,5398
"G0500590","1860","Arkansas","050","Hot Spring","0590","Hot Spring",44,15,12,12,6,3,4,5,2,13,3,5,0,0,0,0,0,0,0,0,0,124,613
