GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ABX001,ABX002,ABX003,ABX004,ABX005,ABX006,ABX007,ABX008,ABX009,ABX010,ABX011,ABX012,ABX013,ABX014,ABX015,ABX016,ABX017,ABX018,ABX019,ABX020,ABX021,ABX022,ABX023,ABX024,ABO001,ABO002,ABO003,ABO004,ABO005,ABO006,ABQ001,ABQ002
"G0101150","1830","Alabama","010","St Clair","1150","St Clair",254,207,73,26,13,0,217,200,114,39,10,1,2,0,1,0,0,0,0,0,0,0,0,0,2534,2284,573,581,3,0,1154,3
"G0101170","1830","Alabama","010","Shelby","1170","Shelby",251,171,109,36,16,0,210,192,102,33,19,0,0,4,3,2,0,0,3,0,0,1,3,0,2352,2197,583,556,9,7,1139,16
"G0101250","1830","Alabama","010","Tuscaloosa","1250","Tuscaloosa",830,794,462,248,53,1,877,816,439,220,51,2,1,6,9,7,4,0,7,6,2,3,1,0,4732,4075,2388,2405,27,19,4793,46
"G0101270","1830","Alabama","010","Walker","1270","Walker",36,24,12,6,3,0,34,34,12,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1057,977,81,87,0,0,168,0
"G0101290","1830","Alabama","010","Washington","1290","Washington",297,232,133,90,27,0,292,233,141,68,19,0,1,1,1,2,2,0,2,5,1,2,1,0,1032,892,779,753,7,11,1532,18
"G0101310","1830","Alabama","010","Wilcox","1310","Wilcox",763,679,374,160,45,0,776,689,412,145,47,0,2,3,1,1,0,0,3,3,2,1,0,0,2926,2516,2021,2069,7,9,4090,16
"G0550015","1830","Arkansas Territory","055","Arkansas","0015","Arkansas",67,74,32,13,3,0,53,63,42,16,5,1,2,2,3,3,0,1,2,0,0,0,0,0,606,438,189,180,11,2,369,13
"G0550035","1830","Arkansas Territory","055","Chicot","0035","Chicot",50,43,31,17,2,0,40,54,23,9,1,0,0,0,1,1,0,0,4,0,1,0,0,0,500,388,143,127,2,5,270,7
"G0550055","1830","Arkansas Territory","055","Clark","0055","Clark",22,20,6,6,1,0,16,19,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,669,595,55,50,0,0,105,0
"G0550075","1830","Arkansas Territory","055","Conway","0075","Conway",16,21,4,4,2,0,15,15,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,491,404,47,40,0,0,87,0
"G0550095","1830","Arkansas Territory","055","Crawford","0095","Crawford",65,70,18,7,5,0,63,75,28,16,5,0,2,1,3,0,1,0,1,0,0,0,0,0,1179,901,165,187,7,1,352,8
"G0550115","1830","Arkansas Territory","055","Crittenden","0115","Crittenden",27,34,21,8,5,0,21,30,14,4,1,0,1,0,2,0,0,0,1,1,0,0,1,0,700,401,95,70,3,3,165,6
"G0550135","1830","Arkansas Territory","055","Hempstead","0135","Hempstead",110,90,31,25,2,0,105,91,45,16,7,0,0,0,2,1,0,0,0,0,0,0,0,0,1075,912,258,264,3,0,522,3
"G0550155","1830","Arkansas Territory","055","Hot Spring","0155","Hot Spring",15,6,6,3,0,0,6,12,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,233,171,30,22,2,0,52,2
"G0550175","1830","Arkansas Territory","055","Independence","0175","Independence",55,49,34,8,2,0,56,55,27,15,2,0,0,0,3,0,1,0,0,0,0,0,0,0,941,783,148,155,4,0,303,4
"G0550195","1830","Arkansas Territory","055","Izard","0195","Izard",11,6,3,1,2,0,10,18,4,2,0,0,8,4,3,2,0,0,4,9,0,2,0,0,622,555,23,34,17,15,57,32
"G0550215","1830","Arkansas Territory","055","Jackson","0215","Jackson",4,1,1,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,145,6,11,0,0,17,0
"G0550235","1830","Arkansas Territory","055","Jefferson","0235","Jefferson",31,40,8,8,4,0,13,35,9,10,2,0,1,1,0,1,1,0,0,1,1,0,0,0,335,271,91,69,4,2,160,6
"G0550255","1830","Arkansas Territory","055","Lafayette","0255","Lafayette",65,56,24,23,1,0,75,50,24,22,0,0,0,0,0,2,0,0,0,0,0,0,1,0,247,158,169,171,2,1,340,3
"G0550275","1830","Arkansas Territory","055","Lawrence","0275","Lawrence",52,61,25,8,6,0,68,55,28,19,3,0,2,1,1,0,0,0,2,0,1,0,1,0,1320,1153,152,173,4,4,325,8
"G0550295","1830","Arkansas Territory","055","Miller","0295","Miller",10,12,5,2,0,0,11,6,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,171,130,29,26,0,0,55,0
"G0550315","1830","Arkansas Territory","055","Monroe","0315","Monroe",10,10,6,6,1,0,15,16,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,213,173,33,42,0,0,75,0
"G0550335","1830","Arkansas Territory","055","Phillips","0335","Phillips",18,19,13,5,3,0,27,24,11,3,3,0,3,3,0,2,0,0,1,0,1,1,0,0,574,441,58,68,8,3,126,11
"G0550355","1830","Arkansas Territory","055","Pope","0355","Pope",34,42,16,8,1,0,36,40,22,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,698,574,101,110,0,0,211,0
