GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ACZ001,ACZ002,ACZ003,ACZ004,ACZ005,ACZ006,ACZ007,ACZ008,ACZ009,ACZ010,ACZ011,ACZ012,ACZ013,ACZ014,ACZ015,ACZ016,ACZ017,ACZ018,ACZ019,ACZ020,ACZ021,ACZ022,ACZ023,ACZ024,ACS001,ACS002,ACS003,ACU001,ACU002,ACU003,ACU004
"G4701790","1840","Tennessee","470","Washington","1790","Washington",46,27,21,11,12,0,38,18,29,21,13,0,165,165,83,50,10,0,141,133,89,62,17,0,10600,236,915,117,119,473,442
"G4701810","1840","Tennessee","470","Wayne","1810","Wayne",5,1,4,1,2,0,2,5,3,1,1,0,116,89,47,18,3,0,81,99,49,24,3,0,7151,25,529,13,12,273,256
"G4701830","1840","Tennessee","470","Weakley","1830","Weakley",0,0,1,1,0,0,0,0,0,0,0,0,349,319,124,67,31,0,333,328,158,61,26,0,8072,2,1796,2,0,890,906
"G4701850","1840","Tennessee","470","White","1850","White",41,26,9,3,12,0,30,26,11,8,7,1,168,148,83,34,17,0,156,182,74,53,18,0,9640,174,933,91,83,450,483
"G4701870","1840","Tennessee","470","Williamson","1870","Williamson",21,7,5,14,9,0,18,10,13,9,8,0,2200,1844,817,507,173,0,2178,1863,938,550,180,1,15641,114,11251,56,58,5541,5710
"G4701890","1840","Tennessee","470","Wilson","1890","Wilson",42,53,21,11,14,0,47,37,21,16,7,0,1170,1107,428,217,73,1,1125,1124,433,238,68,4,18203,269,5988,141,128,2996,2992
"G5000010","1840","Vermont","500","Addison","0010","Addison",20,5,12,12,4,1,13,13,14,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,23472,111,0,54,57,0,0
"G5000030","1840","Vermont","500","Bennington","0030","Bennington",13,18,11,7,6,0,9,17,7,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,16771,101,0,55,46,0,0
"G5000050","1840","Vermont","500","Caledonia","0050","Caledonia",0,2,0,1,0,0,2,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21877,14,0,3,11,0,0
"G5000070","1840","Vermont","500","Chittenden","0070","Chittenden",12,10,6,6,5,0,12,7,14,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22895,82,0,39,43,0,0
"G5000090","1840","Vermont","500","Essex","0090","Essex",0,2,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4218,8,0,6,2,0,0
"G5000110","1840","Vermont","500","Franklin","0110","Franklin",7,9,2,3,9,1,5,10,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,24473,58,0,31,27,0,0
"G5000130","1840","Vermont","500","Grand Isle","0130","Grand Isle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3883,0,0,0,0,0,0
"G5000150","1840","Vermont","500","Lamoille","0150","Lamoille",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10472,3,0,0,3,0,0
"G5000170","1840","Vermont","500","Orange","0170","Orange",3,3,2,2,0,0,1,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27852,21,0,10,11,0,0
"G5000190","1840","Vermont","500","Orleans","0190","Orleans",0,1,2,2,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13623,11,0,5,6,0,0
"G5000210","1840","Vermont","500","Rutland","0210","Rutland",16,16,15,10,4,0,23,15,10,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,30569,130,0,61,69,0,0
"G5000230","1840","Vermont","500","Washington","0230","Washington",2,4,1,3,1,0,1,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23485,21,0,11,10,0,0
"G5000250","1840","Vermont","500","Windham","0250","Windham",4,4,3,4,1,0,0,5,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,27408,34,0,16,18,0,0
"G5000270","1840","Vermont","500","Windsor","0270","Windsor",14,25,18,9,7,0,9,22,7,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,40220,136,0,73,63,0,0
"G5100010","1840","Virginia","510","Accomack","0010","Accomack",437,434,189,160,136,0,430,406,259,205,191,1,722,780,428,259,166,0,692,697,437,269,178,2,9618,2848,4630,1356,1492,2355,2275
