GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ACZ001,ACZ002,ACZ003,ACZ004,ACZ005,ACZ006,ACZ007,ACZ008,ACZ009,ACZ010,ACZ011,ACZ012,ACZ013,ACZ014,ACZ015,ACZ016,ACZ017,ACZ018,ACZ019,ACZ020,ACZ021,ACZ022,ACZ023,ACZ024,ACS001,ACS002,ACS003,ACU001,ACU002,ACU003,ACU004
"G1250255","1840","Florida Territory","125","Madison","0255","Madison",0,0,0,0,0,0,0,0,0,0,0,0,213,211,123,70,16,0,187,174,118,74,16,0,1442,0,1202,0,0,633,569
"G1250275","1840","Florida Territory","125","Monroe","0275","Monroe",10,10,14,2,2,0,11,11,9,6,1,0,6,14,14,5,1,0,15,18,13,6,4,0,516,76,96,38,38,40,56
"G1250295","1840","Florida Territory","125","Mosquito","0295","Mosquito",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0
"G1250315","1840","Florida Territory","125","Nassau","0315","Nassau",4,6,2,2,0,0,7,3,4,1,1,0,151,120,70,69,30,0,153,143,83,70,19,0,954,30,908,14,16,440,468
"G1250355","1840","Florida Territory","125","St Johns","0355","St Johns",12,18,13,3,8,0,12,20,13,13,9,0,104,129,89,66,24,0,128,142,114,70,22,0,1685,121,888,54,67,412,476
"G1250375","1840","Florida Territory","125","Walton","0375","Walton",7,12,0,4,0,0,9,5,2,2,0,0,45,42,20,8,1,0,41,46,18,7,3,0,1189,41,231,23,18,116,115
"G1250395","1840","Florida Territory","125","Washington","0395","Washington",0,0,1,0,0,0,0,1,0,0,0,0,73,49,33,26,4,0,63,48,39,10,8,0,504,2,353,1,1,185,168
"G1300010","1840","Georgia","130","Appling","0010","Appling",4,4,3,1,0,0,2,0,1,0,0,0,56,47,15,11,6,1,60,47,21,13,4,1,1755,15,282,12,3,136,146
"G1300070","1840","Georgia","130","Baker","0070","Baker",2,0,3,1,0,0,0,0,0,0,0,0,280,304,185,103,18,0,337,261,185,87,13,0,2447,6,1773,6,0,890,883
"G1300090","1840","Georgia","130","Baldwin","0090","Baldwin",9,7,3,3,6,1,6,11,5,7,10,0,695,609,386,235,74,1,725,672,379,269,60,2,3075,68,4107,29,39,2000,2107
"G1300210","1840","Georgia","130","Bibb","0210","Bibb",2,6,3,3,3,0,1,3,3,1,2,0,658,604,512,319,73,0,658,669,570,286,71,0,5355,27,4420,17,10,2166,2254
"G1300290","1840","Georgia","130","Bryan","0290","Bryan",0,2,1,1,1,1,0,0,0,0,1,0,352,309,169,170,112,12,333,309,232,185,88,7,897,7,2278,6,1,1124,1154
"G1300310","1840","Georgia","130","Bulloch","0310","Bulloch",0,0,0,0,0,0,0,0,0,0,0,0,163,162,71,54,13,0,196,153,72,63,8,0,2147,0,955,0,0,463,492
"G1300330","1840","Georgia","130","Burke","0330","Burke",25,18,39,11,5,0,22,18,12,8,1,0,1376,1322,840,570,195,13,1292,1211,872,541,172,4,4609,159,8408,98,61,4316,4092
"G1300350","1840","Georgia","130","Butts","0350","Butts",0,0,0,0,0,0,1,0,0,0,0,0,405,325,150,89,19,0,382,326,190,111,25,0,3285,1,2022,0,1,988,1034
"G1300390","1840","Georgia","130","Camden","0390","Camden",3,1,0,0,4,0,6,4,0,4,0,0,617,613,415,245,84,4,650,579,448,296,97,1,2004,22,4049,8,14,1978,2071
"G1300395","1840","Georgia","130","Campbell","0395","Campbell",2,0,0,0,0,0,0,0,0,0,0,0,186,120,44,30,11,0,193,153,62,35,8,0,4526,2,842,2,0,391,451
"G1300450","1840","Georgia","130","Carroll","0450","Carroll",0,2,0,1,0,0,1,1,0,0,0,0,89,98,43,16,4,0,78,105,52,29,8,0,4725,5,522,3,2,250,272
"G1300455","1840","Georgia","130","Cass","0455","Cass",1,4,4,0,0,0,3,2,0,0,0,0,381,342,192,80,18,1,359,335,180,84,22,1,7381,14,1995,9,5,1014,981
"G1300510","1840","Georgia","130","Chatham","0510","Chatham",85,84,49,41,21,1,93,110,76,53,52,4,1151,1376,1320,1041,395,9,1277,1563,1636,1157,402,4,6801,669,11331,281,388,5292,6039
"G1300550","1840","Georgia","130","Chattooga","0550","Chattooga",0,0,0,0,0,0,0,0,0,0,0,0,160,123,59,45,5,0,151,166,61,35,9,0,2624,0,814,0,0,392,422
"G1300570","1840","Georgia","130","Cherokee","0570","Cherokee",1,1,0,1,0,0,0,0,0,0,0,0,99,73,40,15,3,1,91,91,52,21,5,0,5401,3,491,3,0,231,260
"G1300590","1840","Georgia","130","Clarke","0590","Clarke",9,5,5,0,5,0,9,2,4,2,1,0,860,742,444,326,95,11,836,736,482,257,87,1,5603,42,4877,24,18,2478,2399
"G1300670","1840","Georgia","130","Cobb","0670","Cobb",1,0,1,0,0,0,0,0,2,0,1,0,167,175,53,39,6,0,157,174,93,32,8,0,6630,5,904,2,3,440,464
"G1300730","1840","Georgia","130","Columbia","0730","Columbia",21,22,5,2,10,0,9,21,8,9,16,0,1237,1136,621,438,159,0,1344,1123,647,446,162,0,3920,123,7313,60,63,3591,3722
"G1300770","1840","Georgia","130","Coweta","0770","Coweta",4,1,1,3,0,0,9,3,2,0,0,0,563,540,218,136,43,0,547,586,257,155,33,0,7263,23,3078,9,14,1500,1578
"G1300790","1840","Georgia","130","Crawford","0790","Crawford",0,0,0,0,0,0,0,0,0,0,1,0,676,558,288,191,36,0,625,639,334,174,46,1,4412,1,3568,0,1,1749,1819
"G1300830","1840","Georgia","130","Dade","0830","Dade",0,0,0,0,0,0,0,0,0,0,0,0,18,17,3,3,0,0,12,16,6,3,1,0,1285,0,79,0,0,41,38
"G1300870","1840","Georgia","130","Decatur","0870","Decatur",0,1,1,2,1,0,0,1,1,0,1,0,426,394,186,127,42,0,382,394,251,151,33,0,3478,8,2386,5,3,1175,1211
"G1300890","1840","Georgia","130","DeKalb","0890","De Kalb",0,0,1,1,2,0,0,0,2,1,0,0,398,317,139,75,21,2,376,369,170,107,27,3,8456,7,2004,4,3,952,1052
"G1300930","1840","Georgia","130","Dooly","0930","Dooly",0,3,1,0,0,0,1,1,0,1,1,0,225,192,92,53,14,7,193,190,122,83,13,1,3234,8,1185,4,4,583,602
"G1300990","1840","Georgia","130","Early","0990","Early",1,1,1,0,0,0,3,0,1,0,0,0,382,336,199,116,40,1,455,362,242,135,48,1,3120,7,2317,3,4,1074,1243
"G1301030","1840","Georgia","130","Effingham","1030","Effingham",3,3,0,1,0,0,1,0,0,1,0,0,248,206,112,133,62,0,221,199,132,95,25,0,1633,9,1433,7,2,761,672
"G1301050","1840","Georgia","130","Elbert","1050","Elbert",12,13,3,6,4,0,10,11,8,3,3,0,921,810,369,283,90,0,890,808,423,285,96,0,6077,73,4975,38,35,2473,2502
"G1301070","1840","Georgia","130","Emanuel","1070","Emanuel",6,2,1,4,1,0,6,1,3,0,0,0,112,109,39,20,12,0,115,98,55,37,8,0,2500,24,605,14,10,292,313
"G1301130","1840","Georgia","130","Fayette","1130","Fayette",7,3,2,1,2,0,3,7,3,0,2,0,272,214,88,52,25,0,244,227,123,69,19,1,4827,30,1334,15,15,651,683
"G1301150","1840","Georgia","130","Floyd","1150","Floyd",2,1,2,0,0,0,0,0,0,0,0,0,269,213,91,53,6,0,244,222,107,57,9,0,3165,5,1271,5,0,632,639
"G1301170","1840","Georgia","130","Forsyth","1170","Forsyth",0,1,2,2,0,0,2,1,0,0,1,0,94,114,30,15,2,0,109,120,43,22,1,0,5060,9,550,5,4,255,295
"G1301190","1840","Georgia","130","Franklin","1190","Franklin",5,7,1,4,1,0,7,6,1,3,2,0,397,320,127,108,36,0,390,379,179,124,35,0,7754,37,2095,18,19,988,1107
"G1301230","1840","Georgia","130","Gilmer","1230","Gilmer",0,1,0,1,0,0,1,0,0,0,0,0,12,13,8,3,0,0,19,23,7,3,4,0,2441,3,92,2,1,36,56
"G1301270","1840","Georgia","130","Glynn","1270","Glynn",0,0,1,1,0,0,0,0,0,0,0,0,602,522,453,394,191,1,652,538,520,349,186,1,891,2,4409,2,0,2163,2246
"G1301330","1840","Georgia","130","Greene","1330","Greene",2,4,3,3,3,0,2,4,1,0,3,0,1285,1074,633,447,122,0,1265,1047,659,370,122,0,4641,25,7024,15,10,3561,3463
"G1301350","1840","Georgia","130","Gwinnett","1350","Gwinnett",3,2,0,1,0,0,1,4,1,1,1,0,406,407,167,101,19,0,416,388,190,114,30,0,8552,14,2238,6,8,1100,1138
"G1301370","1840","Georgia","130","Habersham","1370","Habersham",3,0,0,2,1,0,3,0,2,1,0,0,162,142,79,39,21,4,179,159,90,52,13,2,7007,12,942,6,6,447,495
"G1301390","1840","Georgia","130","Hall","1390","Hall",0,0,0,0,1,0,0,2,0,0,0,0,185,186,79,47,13,0,199,192,121,53,24,0,6773,3,1099,1,2,510,589
"G1301410","1840","Georgia","130","Hancock","1410","Hancock",12,4,3,4,3,0,7,7,2,2,3,0,1023,907,567,365,158,1,1077,823,530,357,106,1,3697,47,5915,26,21,3021,2894
"G1301450","1840","Georgia","130","Harris","1450","Harris",5,8,2,2,1,0,6,5,1,0,3,0,1209,982,585,302,119,1,1178,1043,651,275,72,1,7482,33,6418,18,15,3198,3220
"G1301490","1840","Georgia","130","Heard","1490","Heard",0,0,0,0,0,0,0,0,0,0,0,3,332,223,122,50,16,0,334,286,143,49,21,1,3749,3,1577,0,3,743,834
"G1301510","1840","Georgia","130","Henry","1510","Henry",2,1,0,1,2,0,4,1,1,2,2,0,615,606,218,116,40,0,676,577,286,133,49,0,8424,16,3316,6,10,1595,1721
"G1301530","1840","Georgia","130","Houston","1530","Houston",0,0,0,0,1,0,2,0,1,0,1,0,837,779,442,268,67,0,872,779,493,260,48,0,4861,5,4845,1,4,2393,2452
"G1301550","1840","Georgia","130","Irwin","1550","Irwin",0,0,0,0,0,0,0,0,0,0,0,0,55,46,14,14,2,1,45,48,28,11,2,0,1772,0,266,0,0,132,134
"G1301570","1840","Georgia","130","Jackson","1570","Jackson",2,4,1,0,1,0,3,2,0,1,1,0,513,392,165,102,41,0,500,389,214,144,53,0,5994,15,2513,8,7,1213,1300
"G1301590","1840","Georgia","130","Jasper","1590","Jasper",5,0,2,5,4,0,7,3,5,1,3,0,1178,979,538,327,75,0,1109,937,583,322,107,0,4921,35,6155,16,19,3097,3058
"G1301630","1840","Georgia","130","Jefferson","1630","Jefferson",5,6,2,2,1,1,3,5,5,2,3,0,754,695,420,269,84,10,747,632,363,293,73,2,2877,35,4342,17,18,2232,2110
"G1301690","1840","Georgia","130","Jones","1690","Jones",5,5,2,3,1,0,5,5,1,2,0,0,1000,916,460,342,98,0,987,839,537,374,64,2,4417,29,5619,16,13,2816,2803
"G1301750","1840","Georgia","130","Laurens","1750","Laurens",0,1,1,0,2,0,0,1,0,0,0,0,468,356,212,169,65,0,432,373,225,148,53,1,3078,5,2502,4,1,1270,1232
"G1301770","1840","Georgia","130","Lee","1770","Lee",1,0,0,3,0,0,1,0,0,0,0,0,373,359,188,116,37,0,346,311,190,97,27,2,2469,5,2046,4,1,1073,973
"G1301790","1840","Georgia","130","Liberty","1790","Liberty",3,2,2,5,4,0,4,6,2,4,2,1,858,769,504,426,192,1,787,830,553,453,187,1,1645,35,5561,16,19,2750,2811
"G1301810","1840","Georgia","130","Lincoln","1810","Lincoln",4,4,1,1,2,0,4,4,2,3,4,0,629,530,247,157,63,0,640,527,320,176,50,0,2527,29,3339,12,17,1626,1713
"G1301850","1840","Georgia","130","Lowndes","1850","Lowndes",0,0,0,1,0,0,0,1,0,0,1,0,195,182,95,54,24,0,238,201,115,60,13,0,4394,3,1177,1,2,550,627
"G1301870","1840","Georgia","130","Lumpkin","1870","Lumpkin",0,1,1,0,1,0,3,2,2,1,1,0,95,63,52,34,8,0,97,92,47,20,8,0,5143,12,516,3,9,252,264
"G1301910","1840","Georgia","130","McIntosh","1910","Mcintosh",16,16,10,7,2,1,6,12,10,16,6,0,521,465,446,369,184,9,492,537,400,299,181,7,1348,102,3910,52,50,1994,1916
"G1301930","1840","Georgia","130","Macon","1930","Macon",0,1,0,1,0,0,0,0,0,1,0,0,237,253,108,75,26,0,301,252,155,69,13,0,3553,3,1489,2,1,699,790
"G1301950","1840","Georgia","130","Madison","1950","Madison",0,2,0,0,0,0,1,0,0,0,0,0,278,215,93,51,29,0,270,225,131,66,24,0,3125,3,1382,2,1,666,716
"G1301970","1840","Georgia","130","Marion","1970","Marion",0,0,0,0,0,0,1,0,0,0,0,0,192,206,66,55,14,0,178,190,102,49,18,0,3741,1,1070,0,1,533,537
"G1301990","1840","Georgia","130","Meriwether","1990","Meriwether",3,1,3,3,0,0,2,3,1,0,0,0,1058,879,450,246,47,1,1013,937,494,207,59,0,8725,16,5391,10,6,2681,2710
"G1302070","1840","Georgia","130","Monroe","2070","Monroe",7,3,1,3,1,0,5,1,2,1,0,0,1618,1354,716,425,105,1,1590,1348,795,404,89,2,7804,24,8447,15,9,4219,4228
"G1302090","1840","Georgia","130","Montgomery","2090","Montgomery",0,0,0,0,0,0,0,0,0,0,0,0,79,66,17,15,2,0,53,57,28,14,6,0,1279,0,337,0,0,179,158
"G1302110","1840","Georgia","130","Morgan","2110","Morgan",3,1,3,2,0,0,2,0,2,0,1,0,963,975,538,359,90,0,949,844,552,298,77,1,3461,14,5646,9,5,2925,2721
"G1302130","1840","Georgia","130","Murray","2130","Murray",0,0,1,0,0,0,0,0,0,0,0,0,143,153,91,35,5,0,139,140,63,25,4,0,3896,1,798,1,0,427,371
"G1302150","1840","Georgia","130","Muscogee","2150","Muscogee",4,4,10,10,6,0,5,7,7,3,3,0,803,765,493,241,55,2,779,783,473,246,60,1,6939,59,4701,34,25,2359,2342
"G1302170","1840","Georgia","130","Newton","2170","Newton",2,4,1,3,1,0,3,2,0,1,1,0,693,574,311,181,47,0,715,616,326,211,45,1,7890,18,3720,11,7,1806,1914
"G1302210","1840","Georgia","130","Oglethorpe","2210","Oglethorpe",8,1,1,2,4,0,7,4,1,1,2,0,1163,928,503,327,137,0,1213,980,578,382,120,0,4506,31,6331,16,15,3058,3273
"G1302230","1840","Georgia","130","Paulding","2230","Paulding",0,0,0,0,0,0,0,0,0,0,0,0,84,87,48,22,2,0,73,73,44,16,5,0,2102,0,454,0,0,243,211
"G1302310","1840","Georgia","130","Pike","2310","Pike",15,4,4,1,0,0,2,2,3,1,0,0,515,376,227,104,26,1,456,411,239,157,36,1,6595,32,2549,24,8,1249,1300
"G1302350","1840","Georgia","130","Pulaski","2350","Pulaski",5,3,3,2,2,0,4,4,2,4,3,0,377,355,261,132,47,2,413,390,258,115,35,0,2972,32,2385,15,17,1174,1211
"G1302370","1840","Georgia","130","Putnam","2370","Putnam",5,4,2,2,1,0,3,3,3,4,3,7,1103,984,628,396,123,3,1143,999,632,369,101,1,3741,37,6482,14,23,3237,3245
"G1302410","1840","Georgia","130","Rabun","2410","Rabun",0,0,0,0,0,0,0,0,0,0,0,0,24,9,7,2,2,0,14,16,5,4,1,0,1828,0,84,0,0,44,40
"G1302430","1840","Georgia","130","Randolph","2430","Randolph",1,7,0,1,0,0,0,1,0,1,0,0,494,399,270,120,29,0,471,456,287,130,23,0,5586,11,2679,9,2,1312,1367
"G1302450","1840","Georgia","130","Richmond","2450","Richmond",22,34,15,10,6,1,22,30,20,18,8,0,801,890,692,566,228,4,710,851,667,499,183,5,5650,186,6096,88,98,3181,2915
"G1302510","1840","Georgia","130","Screven","2510","Screven",3,1,0,0,0,0,1,2,0,0,1,1,465,420,247,172,53,2,428,396,271,141,28,0,2162,9,2623,4,5,1359,1264
"G1302590","1840","Georgia","130","Stewart","2590","Stewart",4,1,0,3,1,0,5,1,0,3,0,0,870,786,431,201,70,2,834,820,469,213,45,0,8174,18,4741,9,9,2360,2381
"G1302610","1840","Georgia","130","Sumter","2610","Sumter",0,0,0,0,0,0,0,0,0,0,1,0,324,277,131,87,16,0,268,291,152,73,23,1,4115,1,1643,0,1,835,808
"G1302630","1840","Georgia","130","Talbot","2630","Talbot",6,1,3,1,1,0,1,2,2,1,2,0,1280,1091,569,332,67,0,1245,1167,621,317,55,2,8861,20,6746,12,8,3339,3407
"G1302650","1840","Georgia","130","Taliaferro","2650","Taliaferro",4,3,3,3,2,0,1,10,2,5,6,0,520,477,230,158,53,0,509,427,278,158,44,2,2295,39,2856,15,24,1438,1418
"G1302670","1840","Georgia","130","Tattnall","2670","Tattnall",0,2,1,0,0,0,0,1,0,0,1,0,156,114,80,58,18,0,165,126,69,29,26,0,1878,5,841,3,2,426,415
"G1302710","1840","Georgia","130","Telfair","2710","Telfair",2,0,0,1,0,0,1,0,0,1,0,0,150,113,59,37,17,0,138,131,62,39,11,0,2001,5,757,3,2,376,381
"G1302750","1840","Georgia","130","Thomas","2750","Thomas",3,6,0,2,0,0,9,2,2,2,0,0,537,482,214,128,39,0,526,543,274,142,45,0,3810,26,2930,11,15,1400,1530
"G1302850","1840","Georgia","130","Troup","2850","Troup",7,3,1,1,1,0,6,3,2,2,2,0,1313,1110,521,360,96,2,1261,1226,641,390,103,0,8682,28,7023,13,15,3402,3621
"G1302890","1840","Georgia","130","Twiggs","2890","Twiggs",10,7,3,2,3,0,9,4,2,2,0,1,678,695,394,236,66,1,694,644,445,257,54,1,4214,43,4165,25,18,2070,2095
"G1302910","1840","Georgia","130","Union","2910","Union",0,0,0,0,0,0,0,0,0,0,0,0,13,25,1,3,0,1,16,18,5,4,0,1,3065,0,87,0,0,43,44
"G1302930","1840","Georgia","130","Upson","2930","Upson",0,0,0,1,2,0,1,0,0,0,0,0,735,611,350,179,49,1,736,578,400,183,45,1,5536,4,3868,3,1,1925,1943
"G1302950","1840","Georgia","130","Walker","2950","Walker",8,8,4,0,1,0,5,8,2,2,0,5,195,173,56,37,11,0,181,176,73,35,9,0,5583,43,946,21,22,472,474
"G1302970","1840","Georgia","130","Walton","2970","Walton",0,0,0,0,1,0,0,0,0,0,0,0,609,575,335,207,73,4,614,532,414,204,56,2,6583,1,3625,1,0,1803,1822
"G1302990","1840","Georgia","130","Ware","2990","Ware",0,0,0,1,0,0,0,1,0,0,0,0,25,27,11,4,0,0,18,24,16,7,0,0,2189,2,132,1,1,67,65
"G1303010","1840","Georgia","130","Warren","3010","Warren",19,14,4,4,0,0,14,12,2,8,0,0,836,703,402,266,101,1,833,689,385,229,91,0,5176,77,4536,41,36,2309,2227
"G1303030","1840","Georgia","130","Washington","3030","Washington",5,7,2,1,2,2,5,5,2,1,3,2,861,737,406,269,101,1,792,679,380,253,86,1,5962,37,4566,19,18,2375,2191
"G1303050","1840","Georgia","130","Wayne","3050","Wayne",4,1,2,1,0,0,1,2,1,0,2,0,63,51,17,21,16,0,60,62,33,30,14,0,877,14,367,8,6,168,199
"G1303170","1840","Georgia","130","Wilkes","3170","Wilkes",1,0,2,2,4,0,0,1,1,1,5,0,1099,950,600,422,131,0,1114,1050,638,360,137,0,3630,17,6501,9,8,3202,3299
"G1303190","1840","Georgia","130","Wilkinson","3190","Wilkinson",3,1,0,1,2,0,2,3,2,0,5,0,339,332,146,88,25,6,324,348,159,84,15,0,4957,19,1866,7,12,936,930
"G1700010","1840","Illinois","170","Adams","0010","Adams",4,8,2,2,2,0,3,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14443,33,0,18,15,0,0
"G1700030","1840","Illinois","170","Alexander","0030","Alexander",0,0,3,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3304,9,0,6,3,0,0
"G1700050","1840","Illinois","170","Bond","0050","Bond",1,0,2,1,0,0,1,0,1,1,0,0,2,0,1,0,0,0,1,0,1,0,0,0,5048,7,5,4,3,3,2
"G1700070","1840","Illinois","170","Boone","0070","Boone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1705,0,0,0,0,0,0
"G1700090","1840","Illinois","170","Brown","0090","Brown",0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,4176,4,3,2,2,1,2
"G1700110","1840","Illinois","170","Bureau","0110","Bureau",1,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3061,6,0,3,3,0,0
"G1700130","1840","Illinois","170","Calhoun","0130","Calhoun",2,6,3,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1726,15,0,13,2,0,0
"G1700150","1840","Illinois","170","Carroll","0150","Carroll",0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019,4,0,3,1,0,0
"G1700170","1840","Illinois","170","Cass","0170","Cass",4,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2970,11,0,7,4,0,0
"G1700190","1840","Illinois","170","Champaign","0190","Champaign",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1475,0,0,0,0,0,0
"G1700210","1840","Illinois","170","Christian","0210","Christian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1878,0,0,0,0,0,0
"G1700230","1840","Illinois","170","Clark","0230","Clark",4,3,4,4,1,0,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7426,27,0,16,11,0,0
"G1700250","1840","Illinois","170","Clay","0250","Clay",3,6,0,1,2,0,2,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3205,23,0,12,11,0,0
"G1700270","1840","Illinois","170","Clinton","0270","Clinton",25,14,12,5,1,0,25,11,10,5,3,0,2,3,1,0,0,0,1,3,0,0,0,0,3597,111,10,57,54,6,4
"G1700290","1840","Illinois","170","Coles","0290","Coles",6,5,2,2,0,0,5,8,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9583,33,0,15,18,0,0
"G1700310","1840","Illinois","170","Cook","0310","Cook",9,6,16,3,2,0,5,4,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10146,55,0,36,19,0,0
"G1700330","1840","Illinois","170","Crawford","0330","Crawford",5,3,3,2,2,0,9,9,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4382,40,0,15,25,0,0
"G1700370","1840","Illinois","170","DeKalb","0370","De Kalb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1697,0,0,0,0,0,0
"G1700390","1840","Illinois","170","De Witt","0390","De Witt",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3246,1,0,0,1,0,0
"G1700430","1840","Illinois","170","Du Page","0430","Du Page",0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3531,4,0,3,1,0,0
"G1700450","1840","Illinois","170","Edgar","0450","Edgar",8,7,0,4,1,0,10,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8181,44,0,20,24,0,0
"G1700470","1840","Illinois","170","Edwards","0470","Edwards",13,7,2,4,2,0,4,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3027,43,0,28,15,0,0
"G1700490","1840","Illinois","170","Effingham","0490","Effingham",1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1670,5,0,4,1,0,0
"G1700510","1840","Illinois","170","Fayette","0510","Fayette",7,10,8,4,4,0,12,9,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6262,66,0,33,33,0,0
"G1700550","1840","Illinois","170","Franklin","0550","Franklin",0,3,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,3671,6,5,4,2,1,4
"G1700570","1840","Illinois","170","Fulton","0570","Fulton",3,4,2,3,1,0,9,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13110,32,0,13,19,0,0
"G1700590","1840","Illinois","170","Gallatin","0590","Gallatin",102,105,53,39,28,0,109,116,51,40,28,0,3,1,0,0,1,0,5,8,1,4,1,0,10065,671,24,327,344,5,19
"G1700610","1840","Illinois","170","Greene","0610","Greene",6,12,8,4,1,0,5,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11901,50,0,31,19,0,0
"G1700650","1840","Illinois","170","Hamilton","0650","Hamilton",6,3,1,1,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3928,17,0,11,6,0,0
"G1700670","1840","Illinois","170","Hancock","0670","Hancock",2,0,0,1,0,0,5,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9931,15,0,3,12,0,0
"G1700690","1840","Illinois","170","Hardin","0690","Hardin",8,4,6,2,0,0,6,4,3,2,0,0,1,4,2,1,0,0,3,1,0,0,1,0,1330,35,13,20,15,8,5
"G1700730","1840","Illinois","170","Henry","0730","Henry",0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1256,4,0,1,3,0,0
"G1700750","1840","Illinois","170","Iroquois","0750","Iroquois",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1694,1,0,0,1,0,0
"G1700770","1840","Illinois","170","Jackson","0770","Jackson",10,2,4,4,2,0,6,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3523,43,0,22,21,0,0
"G1700790","1840","Illinois","170","Jasper","0790","Jasper",9,7,5,3,0,0,6,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430,42,0,24,18,0,0
"G1700810","1840","Illinois","170","Jefferson","0810","Jefferson",2,0,1,0,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5753,9,0,4,5,0,0
"G1700830","1840","Illinois","170","Jersey","0830","Jersey",1,6,2,1,1,0,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4513,20,2,11,9,0,2
"G1700850","1840","Illinois","170","Jo Daviess","0850","Jo Daviess",21,11,28,15,7,0,14,10,13,12,3,0,1,2,1,0,0,0,0,1,1,0,0,0,6040,134,6,82,52,4,2
"G1700870","1840","Illinois","170","Johnson","0870","Johnson",1,0,1,1,0,0,0,0,0,0,0,0,3,2,3,0,0,0,2,3,0,2,0,0,3608,3,15,3,0,8,7
"G1700890","1840","Illinois","170","Kane","0890","Kane",0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6497,4,0,3,1,0,0
"G1700950","1840","Illinois","170","Knox","0950","Knox",0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7057,3,0,2,1,0,0
"G1700970","1840","Illinois","170","Lake","0970","Lake",0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2628,6,0,4,2,0,0
"G1700990","1840","Illinois","170","La Salle","0990","La Salle",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9346,2,0,2,0,0,0
"G1701010","1840","Illinois","170","Lawrence","1010","Lawrence",30,50,12,15,4,0,39,35,17,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6867,225,0,111,114,0,0
"G1701030","1840","Illinois","170","Lee","1030","Lee",1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2029,6,0,4,2,0,0
"G1701050","1840","Illinois","170","Livingston","1050","Livingston",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757,2,0,1,1,0,0
"G1701070","1840","Illinois","170","Logan","1070","Logan",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2332,1,0,0,1,0,0
