GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ABK001,ABK002,ABK003,ABK004,ABK005,ABK006,ABK007,ABK008,ABK009,ABK010,ABK011,ABK012,ABK013,ABK014,ABK015,ABK016,ABL001,ABB001,ABB002,ABB003,ABB004,ABB005,ABB006
"G0900090","1820","Connecticut","090","New Haven","0090","New Haven",0,0,2,6,0,0,2,6,184,154,156,95,213,164,168,92,0,18667,19701,8,8,589,637
"G0900110","1820","Connecticut","090","New London","0110","New London",0,0,0,3,0,0,2,6,328,185,150,143,312,211,196,168,0,16397,17842,3,8,806,887
"G0900130","1820","Connecticut","090","Tolland","0130","Tolland",0,0,0,1,0,0,0,1,61,33,25,20,43,21,29,16,0,6910,7170,1,1,139,109
"G0900150","1820","Connecticut","090","Windham","0150","Windham",0,0,0,1,0,0,3,8,133,98,88,60,134,111,85,82,0,15155,15726,1,11,379,412
"G1000010","1820","Delaware","100","Kent","0010","Kent",306,253,52,16,226,147,47,23,1230,578,464,468,1214,605,516,458,0,7163,7027,627,443,2740,2793
"G1000030","1820","Delaware","100","New Castle","0030","New Castle",315,205,104,30,270,173,60,38,915,474,468,358,839,491,460,339,0,11288,11072,654,541,2215,2129
"G1000050","1820","Delaware","100","Sussex","0050","Sussex",623,381,181,89,483,291,126,70,667,265,275,317,689,283,331,254,0,9454,9278,1274,970,1524,1557
"G1300010","1820","Georgia","130","Appling","0010","Appling",18,19,1,0,19,12,8,1,3,1,0,1,1,1,1,0,0,581,597,38,40,5,3
"G1300090","1820","Georgia","130","Baldwin","0090","Baldwin",940,576,508,171,895,565,436,147,1,0,2,0,3,1,1,1,0,1901,1586,2195,2043,3,6
"G1300290","1820","Georgia","130","Bryan","0290","Bryan",397,198,288,236,397,205,294,223,1,3,3,6,2,1,3,5,0,391,368,1119,1119,13,11
"G1300310","1820","Georgia","130","Bulloch","0310","Bulloch",165,92,72,26,156,100,60,26,3,1,0,0,0,0,0,0,0,955,922,355,342,4,0
"G1300330","1820","Georgia","130","Burke","0330","Burke",1290,751,649,283,1251,724,626,246,17,8,7,7,21,11,5,8,0,2941,2732,2973,2847,39,45
"G1300390","1820","Georgia","130","Camden","0390","Camden",455,363,326,282,454,258,220,124,11,10,7,3,6,8,4,2,1,903,905,1426,1056,31,20
"G1300510","1820","Georgia","130","Chatham","0510","Chatham",1508,1069,1450,595,1576,1267,1476,601,99,55,58,36,141,80,85,72,0,2508,2061,4622,4920,248,378
"G1300590","1820","Georgia","130","Clarke","0590","Clarke",846,428,305,122,840,447,332,141,1,3,4,6,1,1,1,4,0,2757,2528,1701,1760,14,7
"G1300730","1820","Georgia","130","Columbia","0730","Columbia",1696,990,771,306,1674,926,751,306,11,7,6,8,11,12,6,1,0,2663,2550,3763,3657,32,30
"G1300990","1820","Georgia","130","Early","0990","Early",61,26,15,5,52,36,18,3,0,0,0,0,0,0,1,0,0,318,233,107,109,0,1
"G1301030","1820","Georgia","130","Effingham","1030","Effingham",284,160,218,99,248,134,148,56,4,0,2,3,4,1,2,1,0,872,782,761,586,9,8
"G1301050","1820","Georgia","130","Elbert","1050","Elbert",1245,685,491,183,1217,742,437,159,0,0,0,0,0,0,0,0,0,3362,3267,2604,2555,0,0
"G1301070","1820","Georgia","130","Emanuel","1070","Emanuel",90,58,26,13,79,44,46,11,10,7,2,1,5,6,3,1,0,1272,1254,187,180,20,15
"G1301190","1820","Georgia","130","Franklin","1190","Franklin",416,230,124,96,409,232,178,89,6,1,2,3,5,4,4,1,0,3790,3450,866,908,12,14
"G1301270","1820","Georgia","130","Glynn","1270","Glynn",542,249,408,218,506,236,412,189,2,0,4,1,2,0,5,1,0,348,295,1417,1343,7,8
"G1301330","1820","Georgia","130","Greene","1330","Greene",1605,948,695,249,1561,966,694,219,9,4,9,3,13,7,5,3,0,3415,3184,3497,3440,25,28
"G1301350","1820","Georgia","130","Gwinnett","1350","Gwinnett",123,58,39,19,149,80,57,13,0,0,0,0,0,1,0,0,0,2071,1979,239,299,0,1
"G1301370","1820","Georgia","130","Habersham","1370","Habersham",76,34,30,6,57,39,33,2,0,0,0,0,0,0,0,0,0,1494,1374,146,131,0,0
"G1301390","1820","Georgia","130","Hall","1390","Hall",97,47,32,6,102,65,38,12,0,1,1,1,1,1,0,1,0,2370,2311,182,217,3,3
"G1301410","1820","Georgia","130","Hancock","1410","Hancock",1699,928,671,319,1514,834,673,225,4,3,1,1,7,3,2,3,0,3030,2817,3617,3246,9,15
"G1301550","1820","Georgia","130","Irwin","1550","Irwin",14,8,5,0,8,4,0,0,0,0,0,0,0,0,0,0,0,172,200,27,12,0,0
"G1301570","1820","Georgia","130","Jackson","1570","Jackson",470,274,141,82,464,318,187,61,0,1,0,4,2,1,0,4,0,3187,3159,967,1030,5,7
"G1301590","1820","Georgia","130","Jasper","1590","Jasper",1368,782,459,158,1194,863,515,155,8,6,6,2,6,1,4,1,0,4828,4258,2767,2727,22,12
"G1301630","1820","Georgia","130","Jefferson","1630","Jefferson",710,385,351,125,653,386,340,144,3,1,7,4,7,2,2,2,2,2010,1922,1571,1523,15,13
"G1301690","1820","Georgia","130","Jones","1690","Jones",1588,1036,665,199,1581,1012,627,178,20,6,5,9,12,3,3,6,0,5064,4556,3488,3398,40,24
"G1301750","1820","Georgia","130","Laurens","1750","Laurens",416,278,209,79,448,275,192,78,3,2,1,2,3,0,0,0,0,1787,1663,982,993,8,3
"G1301790","1820","Georgia","130","Liberty","1790","Liberty",967,554,627,384,942,579,630,354,2,1,0,1,5,4,1,3,0,867,774,2532,2505,4,13
"G1301810","1820","Georgia","130","Lincoln","1810","Lincoln",697,382,334,151,673,429,293,104,5,2,2,2,1,0,3,2,0,1766,1612,1564,1499,11,6
"G1301910","1820","Georgia","130","McIntosh","1910","Mcintosh",600,432,578,280,640,423,497,265,12,6,11,7,10,11,10,4,0,771,572,1890,1825,36,35
"G1301950","1820","Georgia","130","Madison","1950","Madison",247,99,62,25,245,106,89,31,1,0,0,1,0,0,0,0,0,1418,1411,433,471,2,0
"G1302090","1820","Georgia","130","Montgomery","2090","Montgomery",170,73,69,42,158,99,72,20,0,0,1,0,0,0,0,0,0,575,590,354,349,1,0
"G1302110","1820","Georgia","130","Morgan","2110","Morgan",1381,892,567,203,1393,846,562,201,3,3,3,1,0,1,1,0,0,3960,3503,3043,3002,10,2
"G1302210","1820","Georgia","130","Oglethorpe","2210","Oglethorpe",1780,913,756,256,1698,978,719,238,0,4,1,0,0,0,0,0,0,3461,3242,3705,3633,5,0
"G1302350","1820","Georgia","130","Pulaski","2350","Pulaski",504,293,189,67,475,265,177,51,6,1,1,4,5,4,3,1,0,1697,1540,1053,968,12,13
"G1302370","1820","Georgia","130","Putnam","2370","Putnam",1693,996,696,207,1701,1046,718,184,12,7,1,1,3,0,2,0,0,4236,3972,3592,3649,21,5
"G1302410","1820","Georgia","130","Rabun","2410","Rabun",4,5,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,256,253,9,6,0,0
