GISJOIN,STATE,STATEA,COUNTY,COUNTYA,A00AA1790,A00AA1800,A00AA1810,A00AA1820,A00AA1830,A00AA1840,A00AA1850,A00AA1860,A00AA1870,A00AA1880,A00AA1890,A00AA1900,A00AA1910,A00AA1920,A00AA1930,A00AA1940,A00AA1950,A00AA1960,A00AA1970,A00AA1980,A00AA1990,A00AA2000,A00AA2010
"G0100010","Alabama","010","Autauga County","0010",,,,3853,11874,14342,15023,16739,11623,13108,13330,17915,20038,18908,19694,20977,18186,18739,24460,32259,34222,43671,54571
"G0100015","Alabama","010","Baker County","0015",,,,,,,,,6194,,,,,,,,,,,,,,
"G0100030","Alabama","010","Baldwin County","0030",,,,1713,2324,2951,4414,7530,6004,8603,8941,13194,18178,20730,28289,32324,40997,49088,59382,78556,98280,140415,182265
"G0100050","Alabama","010","Barbour County","0050",,,,,,12024,23632,30812,29309,33979,34898,35152,32728,32067,32425,32722,28892,24700,22543,24756,25417,29038,27457
"G0100055","Alabama","010","Benton County","0055",,,,,,14260,17163,,,,,,,,,,,,,,,,
"G0100070","Alabama","010","Bibb County","0070",,,,,6306,8284,9969,11894,7469,9487,13824,18498,22791,23144,20780,20155,17987,14357,13812,15723,16576,20826,22915
"G0100090","Alabama","010","Blount County","0090",,,,2415,4233,5570,7367,10865,9945,15369,21927,23119,21456,25538,28020,29490,28975,25449,26853,36459,39248,51024,57322
"G0100110","Alabama","010","Bullock County","0110",,,,,,,,,24474,29066,27063,31944,30196,25333,20016,19810,16054,13462,11824,10596,11042,11714,10914
"G0100130","Alabama","010","Butler County","0130",,,,1405,5650,8685,10836,18122,14981,19649,21641,25761,29030,29531,30195,32447,29228,24560,22007,21680,21892,21399,20947
"G0100135","Alabama","010","Cahawba County","0135",,,,3676,,,,,,,,,,,,,,,,,,,
"G0100150","Alabama","010","Calhoun County","0150",,,,,,,,21539,13980,19591,33835,34874,39115,47822,55611,63319,79539,95878,103092,119761,116034,112249,118572
"G0100170","Alabama","010","Chambers County","0170",,,,,,17333,23960,23214,17562,23440,26319,32554,36056,41201,39313,42146,39528,37828,36356,39191,36876,36583,34215
"G0100190","Alabama","010","Cherokee County","0190",,,,,,8773,13884,18360,11132,19108,20459,21096,20226,20862,20219,19928,17634,16303,15606,18760,19543,23988,25989
"G0100210","Alabama","010","Chilton County","0210",,,,,,,,,,10793,14549,16522,23187,22770,24579,27955,26922,25693,25180,30612,32458,39593,43643
"G0100230","Alabama","010","Choctaw County","0230",,,,,,,8389,13877,12676,15731,17526,18136,18483,20753,20513,20195,19152,17870,16589,16839,16018,15922,13859
"G0100250","Alabama","010","Clarke County","0250",,,,5839,7595,8640,9786,15049,14663,17806,22624,27790,30987,26409,26016,27636,26548,25738,26724,27702,27240,27867,25833
"G0100270","Alabama","010","Clay County","0270",,,,,,,,,9560,12938,15765,17099,21006,22645,17768,16907,13929,12400,12636,13703,13252,14254,13932
"G0100290","Alabama","010","Cleburne County","0290",,,,,,,,,8017,10976,13218,13206,13385,13360,12877,13629,11904,10911,10996,12595,12730,14123,14972
"G0100310","Alabama","010","Coffee County","0310",,,,,,,5940,9623,6171,8119,12170,20972,26119,30070,32556,31987,30720,30583,34872,38533,40240,43615,49948
"G0100330","Alabama","010","Colbert County","0330",,,,,,,,,12537,16153,20189,22341,24802,31997,29860,34093,39561,46506,49632,54519,51666,54984,54428
"G0100350","Alabama","010","Conecuh County","0350",,,,5713,7444,8197,9322,11311,9574,12605,14594,17514,21433,24593,25429,25489,21776,17762,15645,15884,14054,14089,13228
"G0100370","Alabama","010","Coosa County","0370",,,,,,6995,14543,19273,11945,15113,15906,16144,16634,14839,12460,13460,11766,10726,10662,11377,11063,12202,11539
"G0100375","Alabama","010","Cotaco County","0375",,,,5263,,,,,,,,,,,,,,,,,,,
"G0100390","Alabama","010","Covington County","0390",,,,,1522,2435,3645,6469,4868,5639,7536,15346,32124,38103,41356,42417,40373,35631,34079,36850,36478,37631,37765
"G0100410","Alabama","010","Crenshaw County","0410",,,,,,,,,11156,11726,15425,19668,23313,23017,23656,23631,18981,14909,13188,14110,13635,13665,13906
"G0100430","Alabama","010","Cullman County","0430",,,,,,,,,,6355,13439,17849,28321,33034,41051,47343,49046,45572,52445,61642,67613,77483,80406
"G0100450","Alabama","010","Dale County","0450",,,,,2031,7397,6382,12197,11325,12677,17225,21189,21608,22711,23175,22685,20828,31066,52938,47821,49633,49129,50251
"G0100470","Alabama","010","Dallas County","0470",,,,6003,14017,25199,29727,33625,40705,48433,49350,54657,53401,54697,55094,55245,56270,56667,55296,53981,48130,46365,43820
"G0100490","Alabama","010","DeKalb County","0490",,,,,,5929,8245,10705,7126,12675,21106,23558,28261,34426,40104,43075,45048,41417,41981,53658,54651,64452,71109
"G0100510","Alabama","010","Elmore County","0510",,,,,,,,,14477,17502,21732,26099,28245,28085,34280,34546,31649,30524,33535,43390,49210,65874,79303
"G0100530","Alabama","010","Escambia County","0530",,,,,,,,,4041,5719,8666,11320,18889,22464,27963,30671,31443,33511,34906,38440,35518,38440,38319
"G0100550","Alabama","010","Etowah County","0550",,,,,,,,,10109,15398,21926,27361,39109,47275,63399,72580,93892,96980,94144,103057,99840,103459,104430
"G0100570","Alabama","010","Fayette County","0570",,,,,3547,6942,9681,12850,7136,10135,12823,14132,16248,18365,18443,21651,19388,16148,16252,18809,17962,18495,17241
"G0100590","Alabama","010","Franklin County","0590",,,,4988,11078,14270,19610,18627,8006,9155,10681,16511,19369,22011,25372,27552,25705,21988,23933,28350,27814,31223,31704
"G0100610","Alabama","010","Geneva County","0610",,,,,,,,,2959,4342,10690,19096,26230,29315,30104,29172,25899,22310,21924,24253,23647,25764,26790
"G0100630","Alabama","010","Greene County","0630",,,,4554,15026,24024,31441,30859,18399,21931,22007,24182,22717,18133,19745,19185,16482,13600,10650,11021,10153,9974,9045
"G0100650","Alabama","010","Hale County","0650",,,,,,,,,21792,26553,27501,31011,27883,24289,26265,25533,20832,19537,15888,15604,15498,17185,15760
"G0100655","Alabama","010","Hancock County","0655",,,,,,,1542,,,,,,,,,,,,,,,,
"G0100670","Alabama","010","Henry County","0670",,,,2638,4020,5787,9019,14918,14191,18761,24847,36147,20943,21547,22820,21912,18674,15286,13254,15302,15374,16310,17302
"G0100690","Alabama","010","Houston County","0690",,,,,,,,,,,,,32414,37334,45935,45665,46522,50718,56574,74632,81331,88787,101547
"G0100710","Alabama","010","Jackson County","0710",,,,8751,12700,15715,14088,18283,19410,25114,28026,30508,32918,35864,36881,41802,38998,36681,39202,51407,47796,53926,53227
"G0100730","Alabama","010","Jefferson County","0730",,,,,6855,7131,8989,11746,12345,23272,88501,140420,226476,310054,431493,459930,558928,634864,644991,671324,651525,662047,658466
"G0100750","Alabama","010","Lamar County","0750",,,,,,,,,,12142,14187,16084,17487,18149,18001,19708,16441,14271,14335,16453,15715,15904,14564
"G0100770","Alabama","010","Lauderdale County","0770",,,,4963,11781,14485,17172,17420,15091,21035,23739,26559,30936,39556,41130,46230,54179,61622,68111,80546,79661,87966,92709
"G0100790","Alabama","010","Lawrence County","0790",,,,8652,14984,13313,15258,13975,16658,21392,20725,20124,21984,24307,26942,27880,27128,24501,27281,30170,31513,34803,34339
"G0100810","Alabama","010","Lee County","0810",,,,,,,,,21750,27262,28694,31826,32867,32821,36063,36455,45073,49754,61268,76283,87146,115092,140247
"G0100830","Alabama","010","Limestone County","0830",,,,9871,14807,14374,16483,15306,15017,21600,21201,22387,26880,31341,36629,35642,35766,36513,41699,46005,54135,65676,82782
"G0100850","Alabama","010","Lowndes County","0850",,,,,9410,19539,21915,27716,25719,31176,31550,35651,31894,25406,22878,22661,18018,15417,12897,13253,12658,13473,11299
"G0100870","Alabama","010","Macon County","0870",,,,,,11247,26898,26802,17727,17371,18439,23126,26049,23561,27103,27654,30561,26717,24841,26829,24928,24105,21452
"G0100890","Alabama","010","Madison County","0890",,,,17481,27990,25706,26427,26451,31267,37625,38119,43702,47041,51268,64623,66317,72903,117348,186540,196966,238912,276700,334811
"G0100910","Alabama","010","Marengo County","0910",,,,2933,7700,17264,27831,31171,26151,30890,33095,38315,39923,36065,36426,35736,29494,27098,23819,25047,23084,22539,21027
"G0100930","Alabama","010","Marion County","0930",,,,,4058,5847,7833,11182,6059,9364,11347,14494,17495,22008,25967,28776,27264,21837,23788,30041,29830,31214,30776
"G0100950","Alabama","010","Marshall County","0950",,,,,,7553,8846,11472,9871,14585,18935,23289,28553,32669,39802,42395,45090,48018,54211,65622,70832,82231,93019
"G0100970","Alabama","010","Mobile County","0970",,,,2672,6267,18741,27600,41131,49311,48653,51587,62740,80854,100117,118363,141974,231105,314301,317308,364980,378643,399843,412992
"G0100990","Alabama","010","Monroe County","0990",,,,8838,8782,10680,12013,15667,14214,17091,18990,23666,27155,28884,30070,29465,25732,22372,20883,22651,23968,24324,23068
"G0101010","Alabama","010","Montgomery County","1010",,,,6604,12695,24574,29711,35904,43704,52356,56172,72047,82178,80853,98671,114420,138965,169210,167790,197038,209085,223510,229363
"G0101030","Alabama","010","Morgan County","1030",,,,,9062,9841,10125,11335,12187,16428,24089,28820,33781,40196,46176,48148,52924,60454,77306,90231,100043,111064,119490
"G0101050","Alabama","010","Perry County","1050",,,,3646,11490,19086,22285,27724,24975,30741,29332,31783,31222,25373,26385,26610,20439,17358,15388,15012,12759,11861,10591
"G0101070","Alabama","010","Pickens County","1070",,,,,6622,17118,21512,22316,17690,21479,22470,24402,25055,25353,24902,27671,24349,21882,20326,21481,20699,20949,19746
"G0101090","Alabama","010","Pike County","1090",,,,,7108,10108,15920,24435,17423,20640,24423,29172,30815,31631,32240,32493,30608,25987,25038,28050,27595,29605,32899
"G0101110","Alabama","010","Randolph County","1110",,,,,,4973,11581,20059,12006,16575,17219,21647,24659,27064,26861,25516,22513,19477,18331,20075,19881,22380,22913
"G0101130","Alabama","010","Russell County","1130",,,,,,13513,19548,26592,21636,24837,24093,27083,25937,27448,27377,35775,40364,46351,45394,47356,46860,49756,52947
"G0101150","Alabama","010","St. Clair County","1150",,,,4166,5975,5638,6829,11013,9360,14462,17353,19425,20715,23383,24510,27336,26687,25388,27956,41205,50009,64742,83593
"G0101155","Alabama","010","Sanford County","1155",,,,,,,,,8893,,,,,,,,,,,,,,
"G0101170","Alabama","010","Shelby County","1170",,,,2416,5704,6112,9536,12618,12218,17236,20886,23684,26949,27097,27576,28962,30362,32132,38037,66298,99358,143293,195085
"G0101190","Alabama","010","Sumter County","1190",,,,,,29937,22250,24035,24109,28728,29574,32710,28699,25569,26929,27321,23610,20041,16974,16908,16174,14798,13763
"G0101210","Alabama","010","Talladega County","1210",,,,,,12587,18624,23520,18064,23360,29346,35773,37921,41005,45241,51832,63639,65495,65280,73826,74107,80321,82291
"G0101230","Alabama","010","Tallapoosa County","1230",,,,,,6444,15584,23827,16963,23401,25460,29675,31034,29744,31188,35270,35074,35007,33840,38676,38826,41475,41616
"G0101250","Alabama","010","Tuscaloosa County","1250",,,,8229,13646,16583,18056,23200,20081,24957,30352,36147,47559,53680,64153,76036,94092,109047,116029,137541,150522,164875,194656
"G0101270","Alabama","010","Walker County","1270",,,,,2202,4032,5124,7980,6543,9479,16078,25162,37013,50593,59445,64201,63769,54211,56246,68660,67670,70713,67023
"G0101290","Alabama","010","Washington County","1290",,,,4118,3474,5300,2713,4669,3912,4538,7935,11134,14454,14279,16365,16188,15612,15372,16241,16821,16694,18097,17581
"G0101310","Alabama","010","Wilcox County","1310",,,,2917,9548,15278,17352,24618,28377,31828,30816,35631,33810,31080,24880,26279,23476,18739,16303,14755,13568,13183,11670
"G0101330","Alabama","010","Winston County","1330",,,,,,,,3576,4155,4253,6552,9554,12855,14378,15596,18746,18250,14858,16654,21953,22053,24843,24484
"G0200100","Alaska","020","Aleutian Islands","0100",,,,,,,,,,,,,,,,,,,8057,7768,,,
"G0200105","Alaska","020","Aleutian Islands - Elec District 14","0105",,,,,,,,,,,,,,,,,,6011,,,,,
"G0200130","Alaska","020","Aleutians East Borough","0130",,,,,,,,,,,,,,,,,,,,,2464,2697,3141
"G0200160","Alaska","020","Aleutians West Census Area","0160",,,,,,,,,,,,,,,,,,,,,9478,5465,5561
"G0200200","Alaska","020","Anchorage Municipality","0200",,,,,,,,,,,,,,,,,,,124542,174431,226338,260283,291826
"G0200205","Alaska","020","Anchorage - Elec District 10","0205",,,,,,,,,,,,,,,,,,82833,,,,,
"G0200300","Alaska","020","Angoon","0300",,,,,,,,,,,,,,,,,,,503,,,,
"G0200400","Alaska","020","Barrow","0400",,,,,,,,,,,,,,,,,,,2663,,,,
"G0200405","Alaska","020","Barrow - Elec District 21","0405",,,,,,,,,,,,,,,,,,2133,,,,,
"G0200500","Alaska","020","Bethel Census Area","0500",,,,,,,,,,,,,,,,,,,7579,10999,13656,16006,17013
"G0200505","Alaska","020","Bethel - Elec District 16","0505",,,,,,,,,,,,,,,,,,5537,,,,,
"G0200600","Alaska","020","Bristol Bay Borough","0600",,,,,,,,,,,,,,,,,,,1147,1094,1410,1258,997
"G0200605","Alaska","020","Bristol Bay - Elec District 15","0605",,,,,,,,,,,,,,,,,,4024,,,,,
"G0200680","Alaska","020","Denali Borough","0680",,,,,,,,,,,,,,,,,,,,,,1893,1826
"G0200700","Alaska","020","Dillingham Census Area","0700",,,,,,,,,,,,,,,,,,,3485,4616,4012,4922,4847
"G0200800","Alaska","020","Cordova-McCarthy","0800",,,,,,,,,,,,,,,,,,,1857,,,,
"G0200805","Alaska","020","Cordova-McCarthy - Elec District 07","0805",,,,,,,,,,,,,,,,,,1759,,,,,
"G0200900","Alaska","020","Fairbanks North Star Borough","0900",,,,,,,,,,,,,,,,,,,45864,53983,77720,82840,97581
"G0200905","Alaska","020","Fairbanks Northstar - Elec District 19","0905",,,,,,,,,,,,,,,,,,43412,,,,,
"G0201000","Alaska","020","Haines Borough","1000",,,,,,,,,,,,,,,,,,,1504,1680,2117,2392,2508
"G0201050","Alaska","020","Hoonah-Angoon Census Area","1050",,,,,,,,,,,,,,,,,,,,,,,2150
"G0201100","Alaska","020","Juneau City and Borough","1100",,,,,,,,,,,,,,,,,,,13556,19528,26751,30711,31275
"G0201105","Alaska","020","Juneau - Elec District 05","1105",,,,,,,,,,,,,,,,,,9745,,,,,
"G0201200","Alaska","020","Kenai-Cook Inlet","1200",,,,,,,,,,,,,,,,,,,14250,,,,
"G0201205","Alaska","020","Kenai-Cook Inlet - Elec District 12","1205",,,,,,,,,,,,,,,,,,6097,,,,,
"G0201220","Alaska","020","Kenai Peninsula Borough","1220",,,,,,,,,,,,,,,,,,,,25282,40802,49691,55400
"G0201300","Alaska","020","Ketchikan Gateway Borough","1300",,,,,,,,,,,,,,,,,,,10041,11316,13828,14070,13477
"G0201305","Alaska","020","Ketchikan - Elec District 02","1305",,,,,,,,,,,,,,,,,,10070,,,,,
"G0201400","Alaska","020","Kobuk","1400",,,,,,,,,,,,,,,,,,,4434,4831,,,
"G0201405","Alaska","020","Kobuk - Elec District 22","1405",,,,,,,,,,,,,,,,,,3560,,,,,
"G0201500","Alaska","020","Kodiak Island Borough","1500",,,,,,,,,,,,,,,,,,,9409,9939,13309,13913,13592
"G0201505","Alaska","020","Kodiak - Elec District 13","1505",,,,,,,,,,,,,,,,,,7174,,,,,
"G0201600","Alaska","020","Kuskokwim","1600",,,,,,,,,,,,,,,,,,,2306,,,,
"G0201605","Alaska","020","Kuskokwim - Elec District 17","1605",,,,,,,,,,,,,,,,,,2301,,,,,
"G0201640","Alaska","020","Lake and Peninsula Borough","1640",,,,,,,,,,,,,,,,,,,,,1668,1823,1631
"G0201645","Alaska","020","Lynn Canal-Icy Straits - Elec District 06","1645",,,,,,,,,,,,,,,,,,2945,,,,,
"G0201700","Alaska","020","Matanuska-Susitna Borough","1700",,,,,,,,,,,,,,,,,,,6509,17816,39683,59322,88995
"G0201800","Alaska","020","Nome Census Area","1800",,,,,,,,,,,,,,,,,,,5749,6537,8288,9196,9492
"G0201805","Alaska","020","Nome - Elec District 23","1805",,,,,,,,,,,,,,,,,,6091,,,,,
"G0201850","Alaska","020","North Slope Borough","1850",,,,,,,,,,,,,,,,,,,,4199,5979,7385,9430
"G0201880","Alaska","020","Northwest Arctic Borough","1880",,,,,,,,,,,,,,,,,,,,,6113,7208,7523
"G0201900","Alaska","020","Outer Ketchikan","1900",,,,,,,,,,,,,,,,,,,1676,,,,
"G0201905","Alaska","020","Palmer-Wasilla-Talkeetna - Elec District 09","1905",,,,,,,,,,,,,,,,,,5188,,,,,
"G0201950","Alaska","020","Petersburg Census Area","1950",,,,,,,,,,,,,,,,,,,,,,,3815
"G0201980","Alaska","020","Prince of Wales-Hyder Census Area","1980",,,,,,,,,,,,,,,,,,,,,,,5559
"G0202000","Alaska","020","Prince Of Wales","2000",,,,,,,,,,,,,,,,,,,2106,,,,
"G0202005","Alaska","020","Prince Of Wales - Elec District 01","2005",,,,,,,,,,,,,,,,,,1772,,,,,
"G0202010","Alaska","020","Prince Of Wales-Outer Ketchikan","2010",,,,,,,,,,,,,,,,,,,,3822,6278,6146,
"G0202015","Alaska","020","Seward - Elec District 11","2015",,,,,,,,,,,,,,,,,,2956,,,,,
"G0202100","Alaska","020","Seward","2100",,,,,,,,,,,,,,,,,,,2336,,,,
"G0202200","Alaska","020","Sitka City and Borough","2200",,,,,,,,,,,,,,,,,,,6109,7803,8588,8835,8881
"G0202205","Alaska","020","Sitka - Elec District 04","2205",,,,,,,,,,,,,,,,,,6690,,,,,
"G0202300","Alaska","020","Skagway Municipality","2300",,,,,,,,,,,,,,,,,,,2157,,,,968
"G0202310","Alaska","020","Skagway-Yakutat-Angoon","2310",,,,,,,,,,,,,,,,,,,,3478,4385,,
"G0202320","Alaska","020","Skagway-Hoonah-Angoon","2320",,,,,,,,,,,,,,,,,,,,,,3436,
"G0202400","Alaska","020","Southeast Fairbanks Census Area","2400",,,,,,,,,,,,,,,,,,,4179,5676,5913,6174,7029
"G0202500","Alaska","020","Upper Yukon","2500",,,,,,,,,,,,,,,,,,,1684,,,,
"G0202505","Alaska","020","Upper Yukon - Elec District 20","2505",,,,,,,,,,,,,,,,,,1619,,,,,
"G0202600","Alaska","020","Valdez-Chitina-Whittier","2600",,,,,,,,,,,,,,,,,,,3098,,,,
"G0202605","Alaska","020","Valdez-Chitina-Whittier - Elec District 08","2605",,,,,,,,,,,,,,,,,,2844,,,,,
"G0202610","Alaska","020","Valdez-Cordova Census Area","2610",,,,,,,,,,,,,,,,,,,,8348,9952,10195,9636
"G0202700","Alaska","020","Wade Hampton Census Area","2700",,,,,,,,,,,,,,,,,,,3917,4665,5791,7028,7459
"G0202705","Alaska","020","Wade Hapton - Elec District 24","2705",,,,,,,,,,,,,,,,,,3128,,,,,
"G0202750","Alaska","020","Wrangell City and Borough","2750",,,,,,,,,,,,,,,,,,,,,,,2369
"G0202800","Alaska","020","Wrangell-Petersburg","2800",,,,,,,,,,,,,,,,,,,4913,6167,7042,6684,
"G0202805","Alaska","020","Wrangell-Petersburg - Elec District 03","2805",,,,,,,,,,,,,,,,,,4181,,,,,
"G0202820","Alaska","020","Yakutat City and Borough","2820",,,,,,,,,,,,,,,,,,,,,,808,662
"G0202900","Alaska","020","Yukon-Koyukuk Census Area","2900",,,,,,,,,,,,,,,,,,,4752,7873,8478,6551,5588
"G0202905","Alaska","020","Yukon-Koyukuk - Elec District 18","2905",,,,,,,,,,,,,,,,,,4097,,,,,
"G0250015","Alaska Territory","025","First Judicicial Dist","0015",,,,,,,,,,,,,,17402,19304,25241,28203,,,,,,
"G0250035","Alaska Territory","025","Fourth Judicicial Dist","0035",,,,,,,,,,,,,,10513,13538,16094,28650,,,,,,
"G0250055","Alaska Territory","025","Northern District","0055",,,,,,,,,,9964,7134,30569,,,,,,,,,,,
"G0250075","Alaska Territory","025","Second Judicicial Dist","0075",,,,,,,,,,,,,,10890,10127,11877,12272,,,,,,
"G0250095","Alaska Territory","025","Southern District","0095",,,,,,,,,,23462,24918,33023,,,,,,,,,,,
"G0250115","Alaska Territory","025","Third Judicicial Dist","0115",,,,,,,,,,,,,,16231,16309,19312,59518,,,,,,
"G0400010","Arizona","040","Apache County","0010",,,,,,,,,,,,,,13196,17765,24095,27767,30438,32298,52108,61591,69423,71518
"G0400030","Arizona","040","Cochise County","0030",,,,,,,,,,,,,,46465,40998,34627,31488,55039,61910,85686,97624,117755,131346
"G0400050","Arizona","040","Coconino County","0050",,,,,,,,,,,,,,9982,14064,18770,23910,41857,48326,75008,96591,116320,134421
"G0400070","Arizona","040","Gila County","0070",,,,,,,,,,,,,,25678,31016,23867,24158,25745,29255,37080,40216,51335,53597
"G0400090","Arizona","040","Graham County","0090",,,,,,,,,,,,,,10148,10373,12113,12985,14045,16578,22862,26554,33489,37220
"G0400110","Arizona","040","Greenlee County","0110",,,,,,,,,,,,,,15362,9886,8698,12805,11509,10330,11406,8008,8547,8437
"G0400120","Arizona","040","La Paz County","0120",,,,,,,,,,,,,,,,,,,,,13844,19715,20489
"G0400130","Arizona","040","Maricopa County","0130",,,,,,,,,,,,,,89576,150970,186193,331770,663510,967522,1509052,2122101,3072149,3817117
"G0400150","Arizona","040","Mohave County","0150",,,,,,,,,,,,,,5259,5572,8591,8510,7736,25857,55865,93497,155032,200186
"G0400170","Arizona","040","Navajo County","0170",,,,,,,,,,,,,,16077,21202,25309,29446,37994,47715,67629,77658,97470,107449
"G0400190","Arizona","040","Pima County","0190",,,,,,,,,,,,,,34680,55676,72838,141216,265660,351667,531443,666880,843746,980263
"G0400210","Arizona","040","Pinal County","0210",,,,,,,,,,,,,,16130,22081,28841,43191,62673,67916,90918,116379,179727,375770
"G0400230","Arizona","040","Santa Cruz County","0230",,,,,,,,,,,,,,12689,9684,9482,9344,10808,13966,20459,29676,38381,47420
"G0400250","Arizona","040","Yavapai County","0250",,,,,,,,,,,,,,24016,28470,26511,24991,28912,36733,68145,107714,167517,211033
"G0400270","Arizona","040","Yuma County","0270",,,,,,,,,,,,,,14904,17816,19326,28006,46235,60827,90554,106895,160026,195751
"G0450015","Arizona Territory","045","Apache County","0015",,,,,,,,,,5283,4281,8297,9196,,,,,,,,,,
"G0450035","Arizona Territory","045","Cochise County","0035",,,,,,,,,,,6938,9251,34591,,,,,,,,,,
"G0450055","Arizona Territory","045","Coconino County","0055",,,,,,,,,,,,5514,8130,,,,,,,,,,
"G0450075","Arizona Territory","045","Gila County","0075",,,,,,,,,,,2021,4973,16348,,,,,,,,,,
"G0450095","Arizona Territory","045","Graham County","0095",,,,,,,,,,,5670,14162,23999,,,,,,,,,,
"G0450135","Arizona Territory","045","Maricopa County","0135",,,,,,,,,,5689,10986,20457,34488,,,,,,,,,,
"G0450155","Arizona Territory","045","Mohave County","0155",,,,,,,,,179,1190,1444,3426,3773,,,,,,,,,,
"G0450175","Arizona Territory","045","Navajo County","0175",,,,,,,,,,,,8829,11471,,,,,,,,,,
"G0450177","Arizona Territory","045","Pah-Ute County","0177",,,,,,,,,,,,,,,,,,,,,,,
"G0450195","Arizona Territory","045","Pima County","0195",,,,,,,,,5716,17006,12673,14689,22818,,,,,,,,,,
"G0450215","Arizona Territory","045","Pinal County","0215",,,,,,,,,,3044,4251,7779,9045,,,,,,,,,,
"G0450235","Arizona Territory","045","Santa Cruz County","0235",,,,,,,,,,,,4545,6766,,,,,,,,,,
"G0450255","Arizona Territory","045","Yavapai County","0255",,,,,,,,,2142,5013,8685,13799,15996,,,,,,,,,,
"G0450275","Arizona Territory","045","Yuma County","0275",,,,,,,,,1621,3215,2671,4145,7733,,,,,,,,,,
"G0459015","Arizona Territory","045","Colorado River Indian Reservation","9015",,,,,,,,,,,,,,,,,,,,,,,
"G0459035","Arizona Territory","045","Fort Apache Indian Reservation","9035",,,,,,,,,,,,,,,,,,,,,,,
"G0459055","Arizona Territory","045","Gila Bend Indian Reservation","9055",,,,,,,,,,,,,,,,,,,,,,,
"G0459075","Arizona Territory","045","Gila River and Salt River Indian Reservations","9075",,,,,,,,,,,,,,,,,,,,,,,
"G0459095","Arizona Territory","045","Moqui Indian Reservation","9095",,,,,,,,,,,,,,,,,,,,,,,
"G0459115","Arizona Territory","045","Navaho Indian Reservation","9115",,,,,,,,,,,,,,,,,,,,,,,
"G0459135","Arizona Territory","045","Papago Indian Reservation","9135",,,,,,,,,,,,,,,,,,,,,,,
"G0459155","Arizona Territory","045","San Carlos Indian Reservation","9155",,,,,,,,,,,,3065,,,,,,,,,,,
"G0459175","Arizona Territory","045","Supai and Walapai Indian Reservations","9175",,,,,,,,,,,,,,,,,,,,,,,
"G0500010","Arkansas","050","Arkansas County","0010",,,,,,1346,3245,8844,8268,8038,11432,12973,16103,21483,22300,24437,23665,23355,23347,24175,21653,20749,19019
"G0500030","Arkansas","050","Ashley County","0030",,,,,,,2058,8590,8042,10156,13295,19734,25268,23410,25151,26785,25660,24220,24976,26538,24319,24209,21853
"G0500050","Arkansas","050","Baxter County","0050",,,,,,,,,,6004,8527,9298,10389,10216,9519,10281,11683,9943,15319,27409,31186,38386,41513
"G0500070","Arkansas","050","Benton County","0070",,,,,,2228,3710,9306,13831,20328,27716,31611,33389,36253,35253,36148,38076,36272,50476,78115,97499,153406,221339
"G0500090","Arkansas","050","Boone County","0090",,,,,,,,,7032,12146,15816,16396,14318,16098,14937,15860,16260,16116,19073,26067,28297,33948,36903
"G0500110","Arkansas","050","Bradley County","0110",,,,,,,3829,8388,8646,6285,7972,9651,14518,15970,17494,18097,15987,14029,12778,13803,11793,12600,11508
"G0500130","Arkansas","050","Calhoun County","0130",,,,,,,,4103,3853,5671,7267,8539,9894,11807,9752,9636,7132,5991,5573,6079,5826,5744,5368
"G0500150","Arkansas","050","Carroll County","0150",,,,,,2844,4614,9383,5780,13337,17288,18848,16829,17786,15820,14737,13244,11284,12301,16203,18654,25357,27446
"G0500170","Arkansas","050","Chicot County","0170",,,,,,3806,5115,9234,7214,10117,11419,14528,21987,21749,22646,27452,22306,18990,18164,17793,15713,14117,11800
"G0500190","Arkansas","050","Clark County","0190",,,,,,2309,4070,9735,11953,15771,20997,21289,23686,25632,24932,24402,22998,20950,21537,23326,21437,23546,22995
"G0500210","Arkansas","050","Clay County","0210",,,,,,,,,,7213,12200,15886,23690,27276,27278,28386,26674,21258,18771,20616,18107,17609,16083
"G0500230","Arkansas","050","Cleburne County","0230",,,,,,,,,,,7884,9628,11903,12696,11373,13134,11487,9059,10349,16909,19411,24046,25970
"G0500250","Arkansas","050","Cleveland County","0250",,,,,,,,,,,11362,11620,13481,12260,12744,12570,8956,6944,6605,7868,7781,8571,8689
"G0500270","Arkansas","050","Columbia County","0270",,,,,,,,12449,11397,14090,19893,22077,23820,27670,27320,29822,28770,26400,25952,26644,25691,25603,24552
"G0500290","Arkansas","050","Conway County","0290",,,,,,2892,3583,6697,8112,12755,19459,19772,22729,22578,21949,21536,18137,15430,16805,19505,19151,20336,21273
"G0500310","Arkansas","050","Craighead County","0310",,,,,,,,3066,4577,7037,12025,19505,27627,37541,44740,47200,50613,47303,52068,63239,68956,82148,96443
"G0500330","Arkansas","050","Crawford County","0330",,,,,,4266,7960,7850,8957,14740,21714,21270,23942,25739,22549,23920,22727,21318,25677,36892,42493,53247,61948
"G0500350","Arkansas","050","Crittenden County","0350",,,,,,1561,2648,4920,3831,9415,13940,14529,22447,29309,39717,42473,47184,47564,48106,49499,49939,50866,50902
"G0500370","Arkansas","050","Cross County","0370",,,,,,,,,3915,5050,7693,11051,14042,18579,25723,26046,24757,19551,19783,20434,19225,19526,17870
"G0500390","Arkansas","050","Dallas County","0390",,,,,,,6877,8283,5707,6505,9296,11518,12621,14424,14671,14471,12416,10522,10022,10515,9614,9210,8116
