GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AAQ001,AAQ002,AAQ003,AAD001,AAD002,AAE001,AAE002,AAE003,AAE004,AAF001,AAF002,AAG001,AAG002,AAH001,AAH002,AAH003,AAH004,AAI001,AAJ001,AAL001,AAL002,AAL003,AAL004,AAL005,AAL006,AAL007,AAL008,AAL009,AAL010
"G4500690","1790","South Carolina","450","Marlboro","0690","Marlboro",59,3229,7418,382,962,382,0,952,10,2284,5192,6.0,5.5,28.4,0,708.0,7.0,3229,8.5,92,113,87,48,34,6,1,0,0,1
"G4500710","1790","South Carolina","450","Newberry","0710","Newberry",12,1144,8186,302,1075,302,0,1073,2,1874,6283,6.2,5.9,219.0,0,779.0,1.0,1144,3.8,102,113,62,23,2,0,0,0,0,0
"G4500750","1790","South Carolina","450","Orangeburg","0750","Orangeburg",170,5931,12412,732,1636,726,6,1613,23,4131,8514,5.7,5.3,307.0,3.0,681.0,10.0,5931,8.1,182,249,162,75,49,11,4,0,0,0
"G4500755","1790","South Carolina","450","Pendleton","0755","Pendleton",3,834,8731,251,1182,251,0,1182,0,1687,7074,6.7,6.0,175.0,0,825.0,0,834,3.3,101,106,27,15,2,0,0,0,0,0
"G4500790","1790","South Carolina","450","Richland","0790","Richland",14,1437,2479,187,293,186,1,279,14,945,1537,5.1,5.5,388.0,2.0,581.0,29.0,1437,7.7,30,60,33,34,25,4,1,0,0,0
"G4500830","1790","South Carolina","450","Spartanburg","0830","Spartanburg",27,866,7907,242,1022,242,0,1019,3,1643,6159,6.8,6.0,191.0,0,806.0,2.0,866,3.6,95,90,45,9,2,0,0,0,0,1
"G4500850","1790","South Carolina","450","Sumter","0850","Sumter",0,2110,2438,170,230,170,0,230,0,1129,1362,6.6,5.9,425.0,0,575.0,0,2110,12.4,20,47,39,35,23,4,2,0,0,0
"G4500870","1790","South Carolina","450","Union","0870","Union",48,1215,6430,231,826,231,0,826,0,1520,4934,6.6,6.0,219.0,0,781.0,0,1215,5.3,77,75,49,21,9,0,0,0,0,0
"G4500910","1790","South Carolina","450","York","0910","York",29,923,5652,227,687,227,0,687,0,1476,4158,6.5,6.1,248.0,0,752.0,0,923,4.1,71,93,46,13,3,1,0,0,0,0
"G5000010","1790","Vermont","500","Addison","0010","Addison",37,0,6383,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5000030","1790","Vermont","500","Bennington","0030","Bennington",33,0,12173,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5000070","1790","Vermont","500","Chittenden","0070","Chittenden",23,0,7264,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5000170","1790","Vermont","500","Orange","0170","Orange",41,0,10485,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5000210","1790","Vermont","500","Rutland","0210","Rutland",32,0,15558,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5000250","1790","Vermont","500","Windham","0250","Windham",58,0,17514,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5000270","1790","Vermont","500","Windsor","0270","Windsor",45,0,15695,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100010","1790","Virginia","510","Accomack","0010","Accomack",721,4262,8976,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100030","1790","Virginia","510","Albemarle","0030","Albemarle",171,5579,6835,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100070","1790","Virginia","510","Amelia","0070","Amelia",106,11307,6684,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100090","1790","Virginia","510","Amherst","0090","Amherst",121,5296,8286,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100150","1790","Virginia","510","Augusta","0150","Augusta",59,1567,9260,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100190","1790","Virginia","510","Bedford","0190","Bedford",52,2754,7725,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100195","1790","Virginia","510","Berkeley","0195","Berkeley",131,2932,16650,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100230","1790","Virginia","510","Botetourt","0230","Botetourt",24,1259,9241,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100231","1790","Virginia","510","Bourbon","0231","Bourbon",0,908,6929,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100250","1790","Virginia","510","Brunswick","0250","Brunswick",132,6776,5919,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100290","1790","Virginia","510","Buckingham","0290","Buckingham",115,4168,5496,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100310","1790","Virginia","510","Campbell","0310","Campbell",251,2488,4946,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100330","1790","Virginia","510","Caroline","0330","Caroline",203,10292,6994,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100360","1790","Virginia","510","Charles City","0360","Charles City",363,3141,2084,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100370","1790","Virginia","510","Charlotte","0370","Charlotte",63,4816,5199,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100410","1790","Virginia","510","Chesterfield","0410","Chesterfield",369,7487,6358,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100470","1790","Virginia","510","Culpeper","0470","Culpeper",70,8226,13809,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100490","1790","Virginia","510","Cumberland","0490","Cumberland",142,4434,3577,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100530","1790","Virginia","510","Dinwiddie","0530","Dinwiddie",561,7334,6039,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100550","1790","Virginia","510","Elizabeth City","0550","Elizabeth City",18,1876,1556,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100570","1790","Virginia","510","Essex","0570","Essex",139,5440,3543,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100590","1790","Virginia","510","Fairfax","0590","Fairfax",135,4574,7611,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100610","1790","Virginia","510","Fauquier","0610","Fauquier",93,6642,11157,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100617","1790","Virginia","510","Fayette","0617","Fayette",32,3752,14626,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100650","1790","Virginia","510","Fluvanna","0650","Fluvanna",25,1466,2430,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100670","1790","Virginia","510","Franklin","0670","Franklin",34,1073,5735,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100690","1790","Virginia","510","Frederick","0690","Frederick",116,4250,15315,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100730","1790","Virginia","510","Gloucester","0730","Gloucester",210,7063,6225,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100750","1790","Virginia","510","Goochland","0750","Goochland",257,4656,4140,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100775","1790","Virginia","510","Greenbrier","0775","Greenbrier",20,319,5676,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100810","1790","Virginia","510","Greensville","0810","Greensville",212,3620,2530,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100830","1790","Virginia","510","Halifax","0830","Halifax",226,5565,8931,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100833","1790","Virginia","510","Hampshire","0833","Hampshire",13,454,6879,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100850","1790","Virginia","510","Hanover","0850","Hanover",240,8223,6291,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100853","1790","Virginia","510","Hardy","0853","Hardy",411,369,6556,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100857","1790","Virginia","510","Harrison","0857","Harrison",0,67,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100870","1790","Virginia","510","Henrico","0870","Henrico",581,5819,5600,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100890","1790","Virginia","510","Henry","0890","Henry",165,1551,6763,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100930","1790","Virginia","510","Isle Of Wight","0930","Isle Of Wight",375,3867,4786,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100950","1790","Virginia","510","James City","0950","James City",146,2405,1519,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100955","1790","Virginia","510","Jefferson","0955","Jefferson",5,903,3857,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100970","1790","Virginia","510","King And Queen","0970","King And Queen",75,5143,4159,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5100990","1790","Virginia","510","King George","0990","King George",86,4157,3123,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101010","1790","Virginia","510","King William","1010","King William",84,5151,2893,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101030","1790","Virginia","510","Lancaster","1030","Lancaster",143,3236,2259,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101055","1790","Virginia","510","Lincoln","1055","Lincoln",8,1094,5446,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101070","1790","Virginia","510","Loudoun","1070","Loudoun",183,4030,14749,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101090","1790","Virginia","510","Louisa","1090","Louisa",14,4573,3880,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101110","1790","Virginia","510","Lunenburg","1110","Lunenburg",80,4332,4547,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101131","1790","Virginia","510","Madison","1131","Madison",0,737,5035,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101139","1790","Virginia","510","Mason","1139","Mason",0,229,2500,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101170","1790","Virginia","510","Mecklenburg","1170","Mecklenburg",416,6762,7555,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101177","1790","Virginia","510","Mercer","1177","Mercer",7,1339,5745,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101190","1790","Virginia","510","Middlesex","1190","Middlesex",51,2558,1531,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101193","1790","Virginia","510","Monongalia","1193","Monongalia",12,154,4602,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101210","1790","Virginia","510","Montgomery","1210","Montgomery",6,828,12394,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101230","1790","Virginia","510","Nansemond","1230","Nansemond",480,3817,4713,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101255","1790","Virginia","510","Nelson","1255","Nelson",35,1248,10032,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101270","1790","Virginia","510","New Kent","1270","New Kent",148,3700,2391,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101290","1790","Virginia","510","Norfolk","1290","Norfolk",251,5345,8928,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101310","1790","Virginia","510","Northampton","1310","Northampton",464,3244,3181,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101330","1790","Virginia","510","Northumberland","1330","Northumberland",197,4460,4506,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101355","1790","Virginia","510","Ohio","1355","Ohio",24,281,4907,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101370","1790","Virginia","510","Orange","1370","Orange",64,4421,5436,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101415","1790","Virginia","510","Pendleton","1415","Pendleton",1,73,2378,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101430","1790","Virginia","510","Pittsylvania","1430","Pittsylvania",62,2979,8538,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101450","1790","Virginia","510","Powhatan","1450","Powhatan",211,4325,2286,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101470","1790","Virginia","510","Prince Edward","1470","Prince Edward",32,3986,4082,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101490","1790","Virginia","510","Prince George","1490","Prince George",267,4519,3387,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101510","1790","Virginia","510","Princess Anne","1510","Princess Anne",64,3202,4527,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101530","1790","Virginia","510","Prince William","1530","Prince William",167,4704,6744,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101557","1790","Virginia","510","Randolph","1557","Randolph",0,19,932,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101590","1790","Virginia","510","Richmond","1590","Richmond",83,3984,2918,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101630","1790","Virginia","510","Rockbridge","1630","Rockbridge",41,682,5825,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101650","1790","Virginia","510","Rockingham","1650","Rockingham",0,772,6677,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101670","1790","Virginia","510","Russell","1670","Russell",5,190,3143,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101710","1790","Virginia","510","Shenandoah","1710","Shenandoah",19,512,9979,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101750","1790","Virginia","510","Southampton","1750","Southampton",559,5993,6312,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5101770","1790","Virginia","510","Spotsylvania","1770","Spotsylvania",148,5933,5171,,,,,,,,,,,,,,,,,,,,,,,,,,
